
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.575743,,Surface,1,0,
0.446509,,Surface,1,1,
0.533782,,Surface,1,2,
0.723487,,Surface,1,3,
0.477409,,Surface,1,4,
