
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.89878,,Segment,2,21,Image 1,8,1,100000001,510000000024,
2.44949,,Segment,2,20,Image 1,7,1,100000001,510000000027,
0.829156,,Segment,2,19,Image 1,6,1,100000001,510000000030,
2.48747,,Segment,2,17,Image 1,6,1,100000001,510000000034,
3.18748,,Segment,2,16,Image 1,6,1,100000001,510000000038,
1.29904,,Segment,2,15,Image 1,6,1,100000001,510000000041,
6.65207,,Segment,2,14,Image 1,6,1,100000001,510000000044,
6.82935,,Segment,2,13,Image 1,6,1,100000001,510000000048,
1.53623,,Segment,2,11,Image 1,6,1,100000001,510000000058,
1.40868,,Segment,2,10,Image 1,6,1,100000001,510000000065,
2.3744,,Segment,2,9,Image 1,6,1,100000001,510000000078,
2.17307,,Segment,2,8,Image 1,5,1,100000001,510000000089,
1.84335,,Segment,2,7,Image 1,5,1,100000001,510000000114,
1.49666,,Segment,2,6,Image 1,4,1,100000001,510000000118,
2.06155,,Segment,2,5,Image 1,4,1,100000001,510000000133,
1.89765,,Segment,2,4,Image 1,3,1,100000001,510000000168,
13.4774,,Segment,2,3,Image 1,3,1,100000001,510000000177,
11.8457,,Segment,2,2,Image 1,2,1,100000001,510000000185,
1.69967,,Segment,2,1,Image 1,2,1,100000001,510000000187,
5.4037,,Segment,2,0,Image 1,1,1,100000001,510000000192,
2.08637,,Segment,2,24,Image 1,10,1,100000000,510000000208,
2.05687,,Segment,2,23,Image 1,10,1,100000000,510000000243,
35.7297,,Segment,2,22,Image 1,9,1,100000000,510000000266,
1.29844,,Segment,2,21,Image 1,8,1,100000000,510000000276,
1.64114,,Segment,2,20,Image 1,8,1,100000000,510000000290,
1.69967,,Segment,2,19,Image 1,8,1,100000000,510000000310,
1.80525,,Segment,2,17,Image 1,7,1,100000000,510000000338,
2.69258,,Segment,2,16,Image 1,7,1,100000000,510000000341,
2.31474,,Segment,2,15,Image 1,7,1,100000000,510000000349,
1.86378,,Segment,2,14,Image 1,7,1,100000000,510000000367,
1.70783,,Segment,2,13,Image 1,6,1,100000000,510000000372,
2.0912,,Segment,2,12,Image 1,5,1,100000000,510000000398,
1.06904,,Segment,2,10,Image 1,4,1,100000000,510000000405,
2.44949,,Segment,2,9,Image 1,4,1,100000000,510000000407,
2.20005,,Segment,2,8,Image 1,4,1,100000000,510000000419,
7.88416,,Segment,2,7,Image 1,4,1,100000000,510000000433,
3.39935,,Segment,2,6,Image 1,3,1,100000000,510000000435,
2.11476,,Segment,2,5,Image 1,3,1,100000000,510000000440,
1.51941,,Segment,2,4,Image 1,2,1,100000000,510000000455,
0.748331,,Segment,2,3,Image 1,2,1,100000000,510000000459,
1.66943,,Segment,2,2,Image 1,2,1,100000000,510000000484,
1.34536,,Segment,2,1,Image 1,1,1,100000000,510000000493,
1.49897,,Segment,2,0,Image 1,1,1,100000000,510000000514,
4.33282,,Segment,2,11,Image 1,6,1,100000000,510000000541,
64.643,,Segment,2,9,Image 1,5,1,100000000,510000000573,
54.4852,,Segment,2,8,Image 1,4,1,100000000,510000000597,
1.56347,,Segment,2,7,Image 1,4,1,100000000,510000000605,
2.71186,,Segment,2,6,Image 1,4,1,100000000,510000000616,
67.1975,,Segment,2,11,Image 1,5,1,100000000,510000000619,
40.2059,,Segment,2,23,Image 1,9,1,100000000,510000000641,
2.28522,,Segment,2,3,Image 1,2,1,100000003,510000000646,
1.7413,,Segment,2,2,Image 1,2,1,100000003,510000000719,
2.05271,,Segment,2,1,Image 1,2,1,100000003,510000000771,
1.14095,,Segment,2,0,Image 1,1,1,100000003,510000000793,
0.816497,,Segment,2,3,Image 1,3,1,100000003,510000000799,
5.58184,,Segment,2,9,Image 1,6,1,100000000,510000000821,
2.12132,,Segment,2,8,Image 1,5,1,100000000,510000000824,
56.2711,,Segment,2,9,Image 1,4,1,100000000,510000000831,
6.66895,,Segment,2,6,Image 1,5,1,100000001,510000000856,
2.8477,,Segment,2,5,Image 1,4,1,100000001,510000000863,
2.4267,,Segment,2,4,Image 1,3,1,100000001,510000000868,
1.67498,,Segment,2,3,Image 1,3,1,100000001,510000000891,
1.78507,,Segment,2,2,Image 1,3,1,100000001,510000000941,
2.20967,,Segment,2,4,Image 1,5,1,100000001,510000000954,
