
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
21847.7,µm,Spine,Spine Terminal Pt Distance from Origin,9,6,1,100000000,610000007214,
21873.2,µm,Spine,Spine Terminal Pt Distance from Origin,6,6,1,100000003,610000007229,
21872.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,2,1,100000002,610000007238,
21795.4,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000001,610000007254,
21846.4,µm,Spine,Spine Terminal Pt Distance from Origin,16,8,1,100000000,610000007266,
21901.7,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000002,610000007277,
21882.2,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000002,610000007293,
21861.5,µm,Spine,Spine Terminal Pt Distance from Origin,10,6,1,100000000,610000007305,
21791.4,µm,Spine,Spine Terminal Pt Distance from Origin,11,3,1,100000001,610000007318,
21889.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000002,610000007327,
21889.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000002,610000007336,
21793.5,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000001,610000007342,
21824.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000003,610000007349,
21877.1,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000002,610000007354,
21878.5,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000002,610000007361,
21862.7,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000007379,
21790.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,100000001,610000007387,
21848.4,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000000,610000007393,
21856.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000003,610000007398,
21876.7,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000002,610000007406,
21876.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000002,610000007413,
21851.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000007421,
21851.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000007429,
21852.2,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000007435,
21793.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,100000001,610000007442,
21793.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,100000001,610000007448,
21856.5,µm,Spine,Spine Terminal Pt Distance from Origin,8,5,1,100000000,610000007452,
21860.8,µm,Spine,Spine Terminal Pt Distance from Origin,12,6,1,100000000,610000007455,
21877,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000002,610000007458,
21891,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000002,610000007469,
21891.3,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000002,610000007474,
21840.8,µm,Spine,Spine Terminal Pt Distance from Origin,23,8,1,100000000,610000007481,
21845.5,µm,Spine,Spine Terminal Pt Distance from Origin,12,7,1,100000000,610000007484,
21859.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000007488,
21858.8,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000007491,
21902.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000002,610000007495,
21901.7,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000002,610000007499,
21797.9,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,100000001,610000007503,
21855,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000000,610000007508,
21854.3,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000000,610000007513,
21854.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000000,610000007517,
21800.4,µm,Spine,Spine Terminal Pt Distance from Origin,5,4,1,100000001,610000007519,
21902.3,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000002,610000007522,
21799,µm,Spine,Spine Terminal Pt Distance from Origin,5,4,1,100000001,610000007525,
21849.4,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000000,610000007527,
21849.5,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000007534,
21789.7,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000001,610000007538,
21853.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007540,
21864.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007547,
21862.8,µm,Spine,Spine Terminal Pt Distance from Origin,10,6,1,100000000,610000007556,
21850.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000003,610000007558,
21864.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007560,
21889.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007573,
21858.6,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000000,610000007579,
21867,µm,Spine,Spine Terminal Pt Distance from Origin,7,4,1,100000003,610000007583,
21842.3,µm,Spine,Spine Terminal Pt Distance from Origin,8,3,1,100000003,610000007585,
21863.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007587,
21883.1,µm,Spine,Spine Terminal Pt Distance from Origin,6,1,1,100000002,610000007597,
21792.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,100000001,610000007606,
21862.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007612,
21819.3,µm,Spine,Spine Terminal Pt Distance from Origin,16,6,1,100000001,610000007619,
21864.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007621,
21845.5,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000007629,
21837.9,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,100000003,610000007631,
21904,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000002,610000007634,
21845.1,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000003,610000007637,
21893.2,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,100000002,610000007640,
21856.8,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000007644,
21854,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007647,
21905.3,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000002,610000007650,
21895.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000002,610000007657,
21850.9,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000000,610000007659,
21860.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000003,610000007662,
21860,µm,Spine,Spine Terminal Pt Distance from Origin,15,7,1,100000000,610000007664,
21856.1,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000007681,
21890.4,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007686,
21859.1,µm,Spine,Spine Terminal Pt Distance from Origin,16,7,1,100000000,610000007690,
21861,µm,Spine,Spine Terminal Pt Distance from Origin,14,6,1,100000000,610000007701,
21838.5,µm,Spine,Spine Terminal Pt Distance from Origin,17,7,1,100000000,610000007707,
21789.1,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000001,610000007715,
21864.5,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007720,
21864.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000007729,
21846.9,µm,Spine,Spine Terminal Pt Distance from Origin,9,5,1,100000000,610000007742,
21857.8,µm,Spine,Spine Terminal Pt Distance from Origin,17,9,1,100000000,610000007749,
21891.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000002,610000007759,
21856.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000003,610000007761,
21860.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000003,610000007768,
21892.3,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000007920,
21852.4,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,,610000007920,
21856.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,,610000007920,
21792.1,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,,610000007920,
21893.7,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000007921,
21857.4,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,,610000007921,
21857,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,,610000007921,
21791.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,,610000007921,
21892.9,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,,610000007922,
21856.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000007922,
21866.7,µm,Spine,Spine Terminal Pt Distance from Origin,7,4,1,,610000007922,
21798.8,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,,610000007922,
21854.3,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000007923,
21791.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,,610000007923,
21859.6,µm,Spine,Spine Terminal Pt Distance from Origin,7,3,1,,610000007923,
21883.6,µm,Spine,Spine Terminal Pt Distance from Origin,6,1,1,,610000007923,
21857.9,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,,610000007924,
21794.6,µm,Spine,Spine Terminal Pt Distance from Origin,11,5,1,,610000007924,
21854,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000007924,
21888.1,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000007924,
