
Soma Intensity Center Ch=1 Img=1
 ==================== 
Soma Intensity Center,Unit,Category,Channel,Image,Time,FilamentID,ID,
3,,Soma,1,Image 1,1,100000000,800000000,
4,,Soma,1,Image 1,1,100000001,800000001,
4,,Soma,1,Image 1,1,100000002,800000002,
2,,Soma,1,Image 1,1,100000003,800000003,
31,,Soma,1,Image 1,1,100000004,800000004,
