
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
61.0592,°,Segment,21,8,1,100000001,510000000024,
31.9182,°,Segment,20,7,1,100000001,510000000027,
35.1927,°,Segment,19,6,1,100000001,510000000030,
21.3774,°,Segment,17,6,1,100000001,510000000034,
43.4475,°,Segment,16,6,1,100000001,510000000038,
41.4752,°,Segment,15,6,1,100000001,510000000041,
57.5071,°,Segment,14,6,1,100000001,510000000044,
49.4143,°,Segment,13,6,1,100000001,510000000048,
46.1289,°,Segment,11,6,1,100000001,510000000058,
10.5101,°,Segment,10,6,1,100000001,510000000065,
34.5577,°,Segment,9,6,1,100000001,510000000078,
37.0536,°,Segment,8,5,1,100000001,510000000089,
31.7017,°,Segment,7,5,1,100000001,510000000114,
78.5287,°,Segment,6,4,1,100000001,510000000118,
60.5708,°,Segment,5,4,1,100000001,510000000133,
34.12,°,Segment,4,3,1,100000001,510000000168,
52.3346,°,Segment,3,3,1,100000001,510000000177,
16.0603,°,Segment,2,2,1,100000001,510000000185,
11.7862,°,Segment,1,2,1,100000001,510000000187,
0,°,Segment,0,1,1,100000001,510000000192,
72.134,°,Segment,24,10,1,100000000,510000000208,
72.7077,°,Segment,23,10,1,100000000,510000000243,
55.5298,°,Segment,22,9,1,100000000,510000000266,
52.5598,°,Segment,21,8,1,100000000,510000000276,
81.7446,°,Segment,20,8,1,100000000,510000000290,
47.9706,°,Segment,19,8,1,100000000,510000000310,
5.45973,°,Segment,17,7,1,100000000,510000000338,
16.5912,°,Segment,16,7,1,100000000,510000000341,
78.5356,°,Segment,15,7,1,100000000,510000000349,
69.3829,°,Segment,14,7,1,100000000,510000000367,
70.8025,°,Segment,13,6,1,100000000,510000000372,
10.5911,°,Segment,12,5,1,100000000,510000000398,
15.6325,°,Segment,10,4,1,100000000,510000000405,
13.7864,°,Segment,9,4,1,100000000,510000000407,
42.0334,°,Segment,8,4,1,100000000,510000000419,
12.9881,°,Segment,7,4,1,100000000,510000000433,
53.7567,°,Segment,6,3,1,100000000,510000000435,
95.1897,°,Segment,5,3,1,100000000,510000000440,
25.6062,°,Segment,4,2,1,100000000,510000000455,
8.81568,°,Segment,3,2,1,100000000,510000000459,
83.971,°,Segment,2,2,1,100000000,510000000484,
27.6902,°,Segment,1,1,1,100000000,510000000493,
0,°,Segment,0,1,1,100000000,510000000514,
28.3203,°,Segment,11,6,1,100000000,510000000541,
40.1491,°,Segment,9,5,1,100000000,510000000573,
55.287,°,Segment,8,4,1,100000000,510000000597,
28.3826,°,Segment,7,4,1,100000000,510000000605,
50.6009,°,Segment,6,4,1,100000000,510000000616,
107.887,°,Segment,11,5,1,100000000,510000000619,
20.3445,°,Segment,23,9,1,100000000,510000000641,
22.6785,°,Segment,3,2,1,100000003,510000000646,
80.724,°,Segment,2,2,1,100000003,510000000719,
65.7131,°,Segment,1,2,1,100000003,510000000771,
0,°,Segment,0,1,1,100000003,510000000793,
84.5402,°,Segment,3,3,1,100000003,510000000799,
58.8948,°,Segment,9,6,1,100000000,510000000821,
99.4419,°,Segment,8,5,1,100000000,510000000824,
