
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,1,1,1,100000005,510000001718,
0,,Segment,0,1,1,100000005,510000001762,
1,,Segment,1,2,1,100000005,510000001768,
2,,Segment,2,3,1,100000005,510000001793,
1,,Segment,1,2,1,100000005,510000001795,
0,,Segment,0,1,1,100000005,510000001836,
1,,Segment,1,1,1,100000005,510000001853,
1,,Segment,1,1,1,100000003,510000001861,
0,,Segment,0,1,1,100000003,510000001867,
1,,Segment,1,2,1,100000003,510000001894,
0,,Segment,0,1,1,100000003,510000001904,
5,,Segment,5,3,1,100000005,510000001958,
4,,Segment,4,3,1,100000005,510000001969,
3,,Segment,3,2,1,100000005,510000001985,
1,,Segment,1,1,1,100000005,510000001994,
0,,Segment,0,1,1,100000005,510000002000,
3,,Segment,3,2,1,100000003,510000002041,
2,,Segment,2,1,1,100000003,510000002058,
0,,Segment,0,1,1,100000003,510000002086,
7,,Segment,7,5,1,100000005,510000002128,
6,,Segment,6,4,1,100000005,510000002131,
3,,Segment,3,3,1,100000004,510000002148,
2,,Segment,2,3,1,100000004,510000002150,
1,,Segment,1,2,1,100000004,510000002160,
0,,Segment,0,1,1,100000004,510000002205,
4,,Segment,4,4,1,100000004,510000002211,
3,,Segment,3,4,1,100000004,510000002217,
4,,Segment,4,5,1,100000004,510000002220,
7,,Segment,7,4,1,100000005,510000002226,
3,,Segment,3,1,1,100000003,510000002229,
1,,Segment,1,1,1,100000005,510000002270,
0,,Segment,0,1,1,100000005,510000002289,
2,,Segment,2,2,1,100000004,510000002293,
1,,Segment,1,2,1,100000003,510000002298,
2,,Segment,2,2,1,100000003,510000002301,
1,,Segment,1,1,1,100000004,510000002308,
2,,Segment,2,1,1,100000004,510000002316,
1,,Segment,1,1,1,100000004,510000002323,
0,,Segment,0,1,1,100000004,510000002325,
1,,Segment,1,2,1,100000005,510000002361,
1,,Segment,1,1,1,100000004,510000002368,
0,,Segment,0,1,1,100000004,510000002373,
4,,Segment,4,2,1,100000005,510000002376,
2,,Segment,2,2,1,100000004,510000002379,
3,,Segment,3,1,1,100000005,510000002381,
1,,Segment,1,2,1,100000004,510000002383,
2,,Segment,2,2,1,100000005,510000002386,
0,,Segment,0,1,1,100000003,510000002401,
0,,Segment,0,1,1,100000004,510000002434,
1,,Segment,1,2,1,100000005,510000002438,
0,,Segment,0,1,1,100000005,510000002440,
1,,Segment,1,2,1,100000005,510000002442,
1,,Segment,1,2,1,100000004,510000002446,
0,,Segment,0,1,1,100000003,510000002450,
0,,Segment,0,1,1,100000003,510000002483,
0,,Segment,0,1,1,100000003,510000002512,
0,,Segment,0,1,1,100000005,510000002522,
1,,Segment,1,1,1,100000003,510000002537,
2,,Segment,2,2,1,100000005,510000002539,
2,,Segment,2,1,1,100000005,510000002540,
5,,Segment,5,4,1,100000005,510000002541,
6,,Segment,6,5,1,100000005,510000002542,
1,,Segment,1,1,1,100000005,510000002543,
