
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
67.2304,°,Segment,1,1,1,100000005,510000001718,
0,°,Segment,0,1,1,100000005,510000001762,
65.4969,°,Segment,1,2,1,100000005,510000001768,
66.2572,°,Segment,2,3,1,100000005,510000001793,
58.6827,°,Segment,1,2,1,100000005,510000001795,
0,°,Segment,0,1,1,100000005,510000001836,
54.2411,°,Segment,1,1,1,100000005,510000001853,
72.0484,°,Segment,1,1,1,100000003,510000001861,
0,°,Segment,0,1,1,100000003,510000001867,
89.5723,°,Segment,1,2,1,100000003,510000001894,
0,°,Segment,0,1,1,100000003,510000001904,
43.3841,°,Segment,5,3,1,100000005,510000001958,
12.7107,°,Segment,4,3,1,100000005,510000001969,
19.7874,°,Segment,3,2,1,100000005,510000001985,
28.4162,°,Segment,1,1,1,100000005,510000001994,
0,°,Segment,0,1,1,100000005,510000002000,
29.2525,°,Segment,3,2,1,100000003,510000002041,
18.0362,°,Segment,2,1,1,100000003,510000002058,
0,°,Segment,0,1,1,100000003,510000002086,
26.7377,°,Segment,7,5,1,100000005,510000002128,
42.6037,°,Segment,6,4,1,100000005,510000002131,
45.6676,°,Segment,3,3,1,100000004,510000002148,
21.6666,°,Segment,2,3,1,100000004,510000002150,
104.029,°,Segment,1,2,1,100000004,510000002160,
0,°,Segment,0,1,1,100000004,510000002205,
71.1095,°,Segment,4,4,1,100000004,510000002211,
61.3164,°,Segment,3,4,1,100000004,510000002217,
88.352,°,Segment,4,5,1,100000004,510000002220,
56.8404,°,Segment,7,4,1,100000005,510000002226,
36.0849,°,Segment,3,1,1,100000003,510000002229,
34.89,°,Segment,1,1,1,100000005,510000002270,
0,°,Segment,0,1,1,100000005,510000002289,
99.0502,°,Segment,2,2,1,100000004,510000002293,
119.309,°,Segment,1,2,1,100000003,510000002298,
80.8691,°,Segment,2,2,1,100000003,510000002301,
29.3652,°,Segment,1,1,1,100000004,510000002308,
63.0939,°,Segment,2,1,1,100000004,510000002316,
23.2243,°,Segment,1,1,1,100000004,510000002323,
0,°,Segment,0,1,1,100000004,510000002325,
30.0777,°,Segment,1,2,1,100000005,510000002361,
45.0713,°,Segment,1,1,1,100000004,510000002368,
0,°,Segment,0,1,1,100000004,510000002373,
81.9175,°,Segment,4,2,1,100000005,510000002376,
63.0673,°,Segment,2,2,1,100000004,510000002379,
70.3258,°,Segment,3,1,1,100000005,510000002381,
68.9757,°,Segment,1,2,1,100000004,510000002383,
89.0174,°,Segment,2,2,1,100000005,510000002386,
0,°,Segment,0,1,1,100000003,510000002401,
0,°,Segment,0,1,1,100000004,510000002434,
31.5418,°,Segment,1,2,1,100000005,510000002438,
0,°,Segment,0,1,1,100000005,510000002440,
79.1418,°,Segment,1,2,1,100000005,510000002442,
88.032,°,Segment,1,2,1,100000004,510000002446,
0,°,Segment,0,1,1,100000003,510000002450,
0,°,Segment,0,1,1,100000003,510000002483,
0,°,Segment,0,1,1,100000003,510000002512,
0,°,Segment,0,1,1,100000005,510000002522,
24.4116,°,Segment,1,1,1,100000003,510000002537,
78.724,°,Segment,2,2,1,100000005,510000002539,
8.71539,°,Segment,2,1,1,100000005,510000002540,
52.6862,°,Segment,5,4,1,100000005,510000002541,
102.387,°,Segment,6,5,1,100000005,510000002542,
74.5474,°,Segment,1,1,1,100000005,510000002543,
