
Soma BoundingBoxAA Length Y
 ==================== 
Soma BoundingBoxAA Length Y,Unit,Category,Collection,Time,FilamentID,ID,
2.60156,µm,Soma,Soma BoundingBoxAA Length,1,100000003,800000147,
3.31836,µm,Soma,Soma BoundingBoxAA Length,1,100000004,800000148,
3.31836,µm,Soma,Soma BoundingBoxAA Length,1,100000005,800000149,
