
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.427499,0.492075,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000005,610000002898,
0.271844,0.271844,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000005,610000002900,
0.435301,0.469039,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000005,610000002901,
0.163712,0.292635,0.338832,µm,Spine,Spine Part Min Diameter,1,2,1,100000005,610000002783,
0.167848,0.381852,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000005,610000002816,
0.163712,0.350721,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000005,610000002902,
0.163712,0.507294,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000005,610000002903,
0.163712,0.747162,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000005,610000002904,
0.224111,0.162334,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000004,610000002695,
0.618723,0.162334,0.485417,µm,Spine,Spine Part Min Diameter,2,1,1,100000003,610000002718,
0.523256,0.407617,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000003,610000002810,
0.482811,0.482811,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000003,610000002866,
0.333488,0.281992,0,µm,Spine,Spine Part Min Diameter,2,2,1,100000005,610000002744,
0.269653,0.314522,0,µm,Spine,Spine Part Min Diameter,2,3,1,100000005,610000002883,
0.243501,0.243501,0,µm,Spine,Spine Part Min Diameter,2,3,1,100000005,610000002884,
0.499536,0.22142,0.356822,µm,Spine,Spine Part Min Diameter,3,1,1,100000003,610000002721,
0.324668,0.324668,0,µm,Spine,Spine Part Min Diameter,3,1,1,100000005,610000002897,
0.414936,0.591172,0,µm,Spine,Spine Part Min Diameter,3,2,1,100000005,610000002757,
0.253647,0.253647,0,µm,Spine,Spine Part Min Diameter,4,2,1,100000005,610000002895,
0.365251,0.365251,0,µm,Spine,Spine Part Min Diameter,4,2,1,100000005,610000002896,
0.162334,0.162334,0,µm,Spine,Spine Part Min Diameter,5,3,1,100000005,610000002893,
0.243501,0.243501,0,µm,Spine,Spine Part Min Diameter,7,5,1,100000005,610000002894,
