
Soma Number of Disconnected Components
 ==================== 
Soma Number of Disconnected Components,Unit,Category,Time,FilamentID,ID,
1,,Soma,1,100000003,800000147,
1,,Soma,1,100000004,800000148,
1,,Soma,1,100000005,800000149,
