
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1432.17,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000147,
1432.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000147,
1432.09,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000147,
1432.12,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000147,
1432.12,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000147,
1431.79,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000004,800000148,
1431.82,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000004,800000148,
1431.82,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000004,800000148,
1431.76,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000004,800000148,
1431.76,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000004,800000148,
1432.13,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000005,800000149,
1432.11,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000005,800000149,
1432.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000005,800000149,
1432.11,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000005,800000149,
1432.11,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000005,800000149,
