
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.768586,,Segment,1,1,1,100000005,510000001718,
0.899794,,Segment,0,1,1,100000005,510000001762,
0.988373,,Segment,1,2,1,100000005,510000001768,
0.889483,,Segment,2,3,1,100000005,510000001793,
0.986264,,Segment,1,2,1,100000005,510000001795,
0.885817,,Segment,0,1,1,100000005,510000001836,
0.98476,,Segment,1,1,1,100000005,510000001853,
0.900962,,Segment,1,1,1,100000003,510000001861,
1,,Segment,0,1,1,100000003,510000001867,
0.997065,,Segment,1,2,1,100000003,510000001894,
0.985523,,Segment,0,1,1,100000003,510000001904,
0.8015,,Segment,5,3,1,100000005,510000001958,
0.9524,,Segment,4,3,1,100000005,510000001969,
0.949131,,Segment,3,2,1,100000005,510000001985,
0.993489,,Segment,1,1,1,100000005,510000001994,
0.989267,,Segment,0,1,1,100000005,510000002000,
0.935512,,Segment,3,2,1,100000003,510000002041,
0.935833,,Segment,2,1,1,100000003,510000002058,
0.960834,,Segment,0,1,1,100000003,510000002086,
0.949341,,Segment,7,5,1,100000005,510000002128,
0.980655,,Segment,6,4,1,100000005,510000002131,
0.948288,,Segment,3,3,1,100000004,510000002148,
0.963257,,Segment,2,3,1,100000004,510000002150,
0.949151,,Segment,1,2,1,100000004,510000002160,
0.89203,,Segment,0,1,1,100000004,510000002205,
0.987722,,Segment,4,4,1,100000004,510000002211,
0.939012,,Segment,3,4,1,100000004,510000002217,
0.892307,,Segment,4,5,1,100000004,510000002220,
0.97414,,Segment,7,4,1,100000005,510000002226,
0.980701,,Segment,3,1,1,100000003,510000002229,
0.833296,,Segment,1,1,1,100000005,510000002270,
0.951162,,Segment,0,1,1,100000005,510000002289,
0.98207,,Segment,2,2,1,100000004,510000002293,
0.967154,,Segment,1,2,1,100000003,510000002298,
0.998987,,Segment,2,2,1,100000003,510000002301,
0.980625,,Segment,1,1,1,100000004,510000002308,
0.99197,,Segment,2,1,1,100000004,510000002316,
0.96492,,Segment,1,1,1,100000004,510000002323,
1,,Segment,0,1,1,100000004,510000002325,
0.864625,,Segment,1,2,1,100000005,510000002361,
0.912035,,Segment,1,1,1,100000004,510000002368,
0.993264,,Segment,0,1,1,100000004,510000002373,
0.988725,,Segment,4,2,1,100000005,510000002376,
0.993891,,Segment,2,2,1,100000004,510000002379,
0.99894,,Segment,3,1,1,100000005,510000002381,
0.999227,,Segment,1,2,1,100000004,510000002383,
0.984276,,Segment,2,2,1,100000005,510000002386,
0.88441,,Segment,0,1,1,100000003,510000002401,
0.888303,,Segment,0,1,1,100000004,510000002434,
0.977153,,Segment,1,2,1,100000005,510000002438,
0.988041,,Segment,0,1,1,100000005,510000002440,
0.930509,,Segment,1,2,1,100000005,510000002442,
0.997316,,Segment,1,2,1,100000004,510000002446,
0.999148,,Segment,0,1,1,100000003,510000002450,
1,,Segment,0,1,1,100000003,510000002483,
1,,Segment,0,1,1,100000003,510000002512,
0.991921,,Segment,0,1,1,100000005,510000002522,
1,,Segment,1,1,1,100000003,510000002537,
1,,Segment,2,2,1,100000005,510000002539,
1,,Segment,2,1,1,100000005,510000002540,
1,,Segment,5,4,1,100000005,510000002541,
1,,Segment,6,5,1,100000005,510000002542,
1,,Segment,1,1,1,100000005,510000002543,
