
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
23478.3,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000147,
23478.4,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000147,
23478.4,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000147,
23478.5,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000147,
23478.5,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000147,
23480.3,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000004,800000148,
23480.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000004,800000148,
23480.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000004,800000148,
23480.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000004,800000148,
23480.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000004,800000148,
23512,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000005,800000149,
23512.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000005,800000149,
23512.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000005,800000149,
23512.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000005,800000149,
23512.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000005,800000149,
