
Soma Intensity Sum of Square Ch=1 Img=1
 ==================== 
Soma Intensity Sum of Square,Unit,Category,Channel,Image,Time,FilamentID,ID,
7961,,Soma,1,Image 1,1,100000003,800000147,
11314,,Soma,1,Image 1,1,100000004,800000148,
11722,,Soma,1,Image 1,1,100000005,800000149,
