
Spine Mean Diameter
 ==================== 
Spine Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.244345,µm,Spine,0,1,1,100000004,610000002675,
0.299515,µm,Spine,0,1,1,100000003,610000002678,
0.308312,µm,Spine,1,1,1,100000005,610000002683,
0.307278,µm,Spine,0,1,1,100000003,610000002686,
0.176517,µm,Spine,0,1,1,100000003,610000002690,
0.287128,µm,Spine,0,1,1,100000005,610000002693,
0.228702,µm,Spine,2,1,1,100000004,610000002695,
0.269446,µm,Spine,1,1,1,100000005,610000002697,
0.441107,µm,Spine,0,1,1,100000003,610000002700,
0.416478,µm,Spine,0,1,1,100000005,610000002703,
0.40109,µm,Spine,0,1,1,100000005,610000002706,
0.368342,µm,Spine,0,1,1,100000005,610000002711,
0.240156,µm,Spine,0,1,1,100000005,610000002714,
0.505504,µm,Spine,2,1,1,100000003,610000002718,
0.436205,µm,Spine,3,1,1,100000003,610000002721,
0.440409,µm,Spine,0,1,1,100000005,610000002723,
0.301727,µm,Spine,0,1,1,100000005,610000002727,
0.367285,µm,Spine,0,1,1,100000003,610000002729,
0.444516,µm,Spine,0,1,1,100000005,610000002732,
0.232304,µm,Spine,0,1,1,100000005,610000002738,
0.678084,µm,Spine,0,1,1,100000005,610000002742,
0.331276,µm,Spine,2,2,1,100000005,610000002744,
0.40366,µm,Spine,0,1,1,100000005,610000002747,
0.192626,µm,Spine,0,1,1,100000005,610000002751,
0.308773,µm,Spine,0,1,1,100000005,610000002754,
0.479413,µm,Spine,3,2,1,100000005,610000002757,
0.360325,µm,Spine,0,1,1,100000005,610000002760,
0.261018,µm,Spine,0,1,1,100000005,610000002762,
0.423273,µm,Spine,0,1,1,100000005,610000002764,
0.168825,µm,Spine,0,1,1,100000005,610000002766,
0.271199,µm,Spine,0,1,1,100000005,610000002769,
0.386522,µm,Spine,0,1,1,100000005,610000002772,
0.379597,µm,Spine,0,1,1,100000005,610000002775,
0.201863,µm,Spine,0,1,1,100000005,610000002779,
0.369055,µm,Spine,1,2,1,100000005,610000002783,
0.372968,µm,Spine,0,1,1,100000005,610000002788,
0.436907,µm,Spine,0,1,1,100000005,610000002791,
0.497255,µm,Spine,0,1,1,100000005,610000002796,
0.240888,µm,Spine,0,1,1,100000005,610000002800,
0.224334,µm,Spine,0,1,1,100000005,610000002803,
0.327954,µm,Spine,0,1,1,100000005,610000002806,
0.516532,µm,Spine,2,1,1,100000003,610000002810,
0.395532,µm,Spine,0,1,1,100000005,610000002814,
0.411475,µm,Spine,1,2,1,100000005,610000002816,
0.28848,µm,Spine,0,1,1,100000005,610000002818,
0.290235,µm,Spine,0,1,1,100000005,610000002820,
0.373997,µm,Spine,0,1,1,100000005,610000002823,
0.419317,µm,Spine,0,1,1,100000005,610000002826,
0.205834,µm,Spine,0,1,1,100000005,610000002832,
0.397256,µm,Spine,0,1,1,100000003,610000002845,
0.304212,µm,Spine,0,1,1,100000003,610000002864,
0.319301,µm,Spine,0,1,1,100000003,610000002865,
0.601668,µm,Spine,2,1,1,100000003,610000002866,
0.451254,µm,Spine,0,1,1,100000003,610000002868,
0.306058,µm,Spine,0,1,1,100000004,610000002870,
0.295268,µm,Spine,1,1,1,100000004,610000002871,
0.32938,µm,Spine,1,1,1,100000004,610000002872,
0.362275,µm,Spine,0,1,1,100000004,610000002874,
0.389254,µm,Spine,1,1,1,100000005,610000002880,
0.322432,µm,Spine,1,1,1,100000005,610000002881,
0.292087,µm,Spine,2,3,1,100000005,610000002883,
0.32213,µm,Spine,2,3,1,100000005,610000002884,
0.363427,µm,Spine,1,1,1,100000005,610000002885,
0.436043,µm,Spine,1,1,1,100000005,610000002886,
0.419858,µm,Spine,0,1,1,100000005,610000002889,
0.234332,µm,Spine,5,3,1,100000005,610000002893,
0.279216,µm,Spine,7,5,1,100000005,610000002894,
0.399172,µm,Spine,4,2,1,100000005,610000002895,
0.390164,µm,Spine,4,2,1,100000005,610000002896,
0.403432,µm,Spine,3,1,1,100000005,610000002897,
0.459787,µm,Spine,1,1,1,100000005,610000002898,
0.615939,µm,Spine,0,1,1,100000005,610000002899,
0.287588,µm,Spine,1,1,1,100000005,610000002900,
0.45217,µm,Spine,1,1,1,100000005,610000002901,
0.257217,µm,Spine,1,2,1,100000005,610000002902,
0.335503,µm,Spine,1,2,1,100000005,610000002903,
0.455437,µm,Spine,1,2,1,100000005,610000002904,
0.381969,µm,Spine,0,1,1,100000005,610000002905,
