
Spine Part Length Neck
 ==================== 
Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001387,
0,µm,Spine,Spine Part Length,1,2,1,100000001,610000001391,
0,µm,Spine,Spine Part Length,2,1,1,100000001,610000001393,
0.130559,µm,Spine,Spine Part Length,0,1,1,100000001,610000001396,
0.17922,µm,Spine,Spine Part Length,1,1,1,100000001,610000001399,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001402,
0.111621,µm,Spine,Spine Part Length,0,1,1,100000001,610000001405,
0.114066,µm,Spine,Spine Part Length,0,1,1,100000001,610000001411,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001414,
0.167959,µm,Spine,Spine Part Length,1,2,1,100000001,610000001417,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000001419,
0.113043,µm,Spine,Spine Part Length,1,1,1,100000001,610000001422,
0.132149,µm,Spine,Spine Part Length,0,1,1,100000001,610000001426,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001428,
0.126989,µm,Spine,Spine Part Length,0,1,1,100000001,610000001434,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001436,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001439,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001442,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001445,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001447,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001449,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001454,
0.173007,µm,Spine,Spine Part Length,0,1,1,100000002,610000001458,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001460,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001464,
0,µm,Spine,Spine Part Length,1,2,1,100000001,610000001469,
0,µm,Spine,Spine Part Length,1,1,1,100000002,610000001474,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001507,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001508,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001509,
0,µm,Spine,Spine Part Length,5,2,1,100000001,610000001510,
0,µm,Spine,Spine Part Length,2,2,1,100000001,610000001511,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001512,
0,µm,Spine,Spine Part Length,3,2,1,100000001,610000001513,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001514,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001515,
0,µm,Spine,Spine Part Length,2,2,1,100000001,610000001523,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001524,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001525,
0,µm,Spine,Spine Part Length,1,1,1,100000001,610000001526,
0,µm,Spine,Spine Part Length,1,2,1,100000001,610000001527,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001528,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001529,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000001530,
0,µm,Spine,Spine Part Length,1,2,1,100000001,610000001531,
0,µm,Spine,Spine Part Length,2,1,1,100000001,610000001532,
0,µm,Spine,Spine Part Length,1,1,1,100000002,610000001552,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000001553,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000001554,
