
Soma Intensity Max Ch=4 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
32,,Soma,4,Image 1,1,100000001,800000001,
0,,Soma,4,Image 1,1,100000002,800000144,
