
Spine Position Y
 ==================== 
Spine Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
21556.8,µm,Spine,Spine Position,0,1,1,100000001,610000001387,
21559.6,µm,Spine,Spine Position,1,2,1,100000001,610000001391,
21556.8,µm,Spine,Spine Position,2,1,1,100000001,610000001393,
21559.4,µm,Spine,Spine Position,0,1,1,100000001,610000001396,
21560.3,µm,Spine,Spine Position,1,1,1,100000001,610000001399,
21557.4,µm,Spine,Spine Position,0,1,1,100000001,610000001402,
21557.6,µm,Spine,Spine Position,0,1,1,100000001,610000001405,
21559.9,µm,Spine,Spine Position,0,1,1,100000001,610000001411,
21556.8,µm,Spine,Spine Position,0,1,1,100000001,610000001414,
21559.7,µm,Spine,Spine Position,1,2,1,100000001,610000001417,
21518.4,µm,Spine,Spine Position,0,1,1,100000002,610000001419,
21562.7,µm,Spine,Spine Position,1,1,1,100000001,610000001422,
21559.8,µm,Spine,Spine Position,0,1,1,100000001,610000001426,
21560.4,µm,Spine,Spine Position,0,1,1,100000001,610000001428,
21561.5,µm,Spine,Spine Position,0,1,1,100000001,610000001434,
21563,µm,Spine,Spine Position,1,1,1,100000001,610000001436,
21560.2,µm,Spine,Spine Position,1,1,1,100000001,610000001439,
21559.7,µm,Spine,Spine Position,0,1,1,100000001,610000001442,
21557.4,µm,Spine,Spine Position,0,1,1,100000001,610000001445,
21560.1,µm,Spine,Spine Position,0,1,1,100000001,610000001447,
21557.4,µm,Spine,Spine Position,0,1,1,100000001,610000001449,
21559.5,µm,Spine,Spine Position,0,1,1,100000001,610000001454,
21517.9,µm,Spine,Spine Position,0,1,1,100000002,610000001458,
21557.2,µm,Spine,Spine Position,0,1,1,100000001,610000001460,
21557.7,µm,Spine,Spine Position,0,1,1,100000001,610000001464,
21559.8,µm,Spine,Spine Position,1,2,1,100000001,610000001469,
21519.5,µm,Spine,Spine Position,1,1,1,100000002,610000001474,
21560.8,µm,Spine,Spine Position,1,1,1,100000001,610000001507,
21560.8,µm,Spine,Spine Position,1,1,1,100000001,610000001508,
21560.3,µm,Spine,Spine Position,1,1,1,100000001,610000001509,
21561.8,µm,Spine,Spine Position,5,2,1,100000001,610000001510,
21560.6,µm,Spine,Spine Position,2,2,1,100000001,610000001511,
21559.6,µm,Spine,Spine Position,1,1,1,100000001,610000001512,
21556.3,µm,Spine,Spine Position,3,2,1,100000001,610000001513,
21558.7,µm,Spine,Spine Position,0,1,1,100000001,610000001514,
21557.6,µm,Spine,Spine Position,0,1,1,100000001,610000001515,
21562.6,µm,Spine,Spine Position,2,2,1,100000001,610000001523,
21563,µm,Spine,Spine Position,1,1,1,100000001,610000001524,
21562.9,µm,Spine,Spine Position,1,1,1,100000001,610000001525,
21562.8,µm,Spine,Spine Position,1,1,1,100000001,610000001526,
21563,µm,Spine,Spine Position,1,2,1,100000001,610000001527,
21560.9,µm,Spine,Spine Position,0,1,1,100000001,610000001528,
21560.4,µm,Spine,Spine Position,0,1,1,100000001,610000001529,
21558.6,µm,Spine,Spine Position,0,1,1,100000001,610000001530,
21557.7,µm,Spine,Spine Position,1,2,1,100000001,610000001531,
21554.4,µm,Spine,Spine Position,2,1,1,100000001,610000001532,
21516.4,µm,Spine,Spine Position,1,1,1,100000002,610000001552,
21517.8,µm,Spine,Spine Position,0,1,1,100000002,610000001553,
21517.8,µm,Spine,Spine Position,0,1,1,100000002,610000001554,
