
Spine Center Intensity Mean Ch=3 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
21,,Spine,3,0,Image 1,1,1,100000001,610000001387,
76,,Spine,3,1,Image 1,2,1,100000001,610000001391,
29,,Spine,3,2,Image 1,1,1,100000001,610000001393,
30.25,,Spine,3,0,Image 1,1,1,100000001,610000001396,
58.5,,Spine,3,1,Image 1,1,1,100000001,610000001399,
14,,Spine,3,0,Image 1,1,1,100000001,610000001402,
29.75,,Spine,3,0,Image 1,1,1,100000001,610000001405,
66,,Spine,3,0,Image 1,1,1,100000001,610000001411,
25.6667,,Spine,3,0,Image 1,1,1,100000001,610000001414,
66.25,,Spine,3,1,Image 1,2,1,100000001,610000001417,
60.3333,,Spine,3,0,Image 1,1,1,100000002,610000001419,
44.5,,Spine,3,1,Image 1,1,1,100000001,610000001422,
66,,Spine,3,0,Image 1,1,1,100000001,610000001426,
31.6667,,Spine,3,0,Image 1,1,1,100000001,610000001428,
82.5,,Spine,3,0,Image 1,1,1,100000001,610000001434,
63.6667,,Spine,3,1,Image 1,1,1,100000001,610000001436,
74.6667,,Spine,3,1,Image 1,1,1,100000001,610000001439,
92.5,,Spine,3,0,Image 1,1,1,100000001,610000001442,
62.5,,Spine,3,0,Image 1,1,1,100000001,610000001445,
74.5,,Spine,3,0,Image 1,1,1,100000001,610000001447,
53.5,,Spine,3,0,Image 1,1,1,100000001,610000001449,
69.5,,Spine,3,0,Image 1,1,1,100000001,610000001454,
100.75,,Spine,3,0,Image 1,1,1,100000002,610000001458,
62.5,,Spine,3,0,Image 1,1,1,100000001,610000001460,
61,,Spine,3,0,Image 1,1,1,100000001,610000001464,
84.6667,,Spine,3,1,Image 1,2,1,100000001,610000001469,
87,,Spine,3,0,Image 1,1,1,100000002,610000001474,
101,,Spine,3,1,Image 1,1,1,100000001,610000001507,
102.5,,Spine,3,1,Image 1,1,1,100000001,610000001508,
70,,Spine,3,1,Image 1,1,1,100000001,610000001509,
41.5,,Spine,3,5,Image 1,2,1,100000001,610000001510,
37,,Spine,3,2,Image 1,2,1,100000001,610000001511,
68,,Spine,3,1,Image 1,1,1,100000001,610000001512,
38,,Spine,3,3,Image 1,2,1,100000001,610000001513,
81,,Spine,3,0,Image 1,1,1,100000001,610000001514,
50,,Spine,3,0,Image 1,1,1,100000001,610000001515,
34.5,,Spine,3,2,Image 1,2,1,100000001,610000001523,
66,,Spine,3,1,Image 1,1,1,100000001,610000001524,
88,,Spine,3,1,Image 1,1,1,100000001,610000001525,
94,,Spine,3,1,Image 1,1,1,100000001,610000001526,
31,,Spine,3,1,Image 1,2,1,100000001,610000001527,
74,,Spine,3,0,Image 1,1,1,100000001,610000001528,
79,,Spine,3,0,Image 1,1,1,100000001,610000001529,
50,,Spine,3,0,Image 1,1,1,100000001,610000001530,
16,,Spine,3,1,Image 1,2,1,100000001,610000001531,
54.5,,Spine,3,2,Image 1,1,1,100000001,610000001532,
91.5,,Spine,3,1,Image 1,1,1,100000002,610000001552,
100,,Spine,3,0,Image 1,1,1,100000002,610000001553,
116.5,,Spine,3,0,Image 1,1,1,100000002,610000001554,
