
Spine Neck Min Diameter
 ==================== 
Spine Neck Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.1773,µm,Spine,8,3,1,100000000,610000003567,
0.319947,µm,Spine,9,3,1,100000000,610000003570,
0.357814,µm,Spine,9,5,1,100000002,610000003575,
0.634727,µm,Spine,2,1,1,100000000,610000003579,
0.38562,µm,Spine,13,7,1,100000002,610000003590,
0.182812,µm,Spine,6,2,1,100000000,610000003594,
0.1625,µm,Spine,4,1,1,100000001,610000003597,
0.1625,µm,Spine,0,1,1,100000000,610000003601,
0.279356,µm,Spine,6,2,1,100000000,610000003605,
0.286305,µm,Spine,13,7,1,100000002,610000003613,
0.275869,µm,Spine,2,3,1,100000000,610000003617,
0.253978,µm,Spine,0,1,1,100000001,610000003620,
0.417718,µm,Spine,0,1,1,100000000,610000003622,
0.294019,µm,Spine,4,1,1,100000001,610000003624,
0.1625,µm,Spine,13,7,1,100000002,610000003632,
0.316457,µm,Spine,11,5,1,100000002,610000003636,
0,µm,Spine,3,3,1,100000000,610000003638,
0.24686,µm,Spine,5,1,1,100000000,610000003642,
0.308919,µm,Spine,2,2,1,100000002,610000003645,
0.480749,µm,Spine,13,7,1,100000002,610000003650,
0.238672,µm,Spine,4,3,1,100000002,610000003653,
0.256872,µm,Spine,9,3,1,100000000,610000003656,
0.434187,µm,Spine,4,2,1,100000000,610000003659,
0.519826,µm,Spine,0,1,1,100000001,610000003662,
0.1625,µm,Spine,5,3,1,100000000,610000003668,
0.367697,µm,Spine,5,1,1,100000000,610000003670,
0.26354,µm,Spine,4,2,1,100000000,610000003680,
0.316113,µm,Spine,6,3,1,100000000,610000003682,
0.249334,µm,Spine,2,3,1,100000000,610000003687,
0.353405,µm,Spine,3,3,1,100000000,610000003690,
0.1625,µm,Spine,2,1,1,100000001,610000003695,
0.227403,µm,Spine,5,4,1,100000000,610000003698,
0.220978,µm,Spine,5,2,1,100000001,610000003700,
0.368799,µm,Spine,9,5,1,100000002,610000003704,
0.216626,µm,Spine,9,4,1,100000000,610000003707,
0.274219,µm,Spine,1,2,1,100000000,610000003711,
0.40625,µm,Spine,13,7,1,100000002,610000003716,
0.190924,µm,Spine,3,3,1,100000000,610000003718,
