
Segment Intensity Max Ch=4 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
132,,Segment,4,12,Image 1,6,1,100000000,510000000038,
150,,Segment,4,11,Image 1,5,1,100000000,510000000040,
170,,Segment,4,10,Image 1,4,1,100000000,510000000049,
186,,Segment,4,9,Image 1,4,1,100000000,510000000062,
183,,Segment,4,8,Image 1,3,1,100000000,510000000072,
183,,Segment,4,7,Image 1,3,1,100000000,510000000074,
198,,Segment,4,5,Image 1,3,1,100000000,510000000079,
197,,Segment,4,4,Image 1,3,1,100000000,510000000146,
199,,Segment,4,3,Image 1,2,1,100000000,510000000156,
199,,Segment,4,2,Image 1,1,1,100000000,510000000161,
198,,Segment,4,1,Image 1,1,1,100000000,510000000168,
194,,Segment,4,0,Image 1,1,1,100000000,510000000177,
192,,Segment,4,11,Image 1,4,1,100000000,510000000200,
107,,Segment,4,12,Image 1,5,1,100000000,510000000205,
187,,Segment,4,10,Image 1,4,1,100000000,510000000221,
187,,Segment,4,9,Image 1,3,1,100000000,510000000243,
170,,Segment,4,10,Image 1,5,1,100000000,510000000246,
187,,Segment,4,10,Image 1,3,1,100000000,510000000257,
170,,Segment,4,10,Image 1,5,1,100000000,510000000259,
139,,Segment,4,9,Image 1,5,1,100000000,510000000262,
183,,Segment,4,8,Image 1,4,1,100000000,510000000270,
139,,Segment,4,9,Image 1,4,1,100000000,510000000277,
182,,Segment,4,7,Image 1,4,1,100000000,510000000280,
198,,Segment,4,6,Image 1,4,1,100000000,510000000283,
197,,Segment,4,5,Image 1,4,1,100000000,510000000289,
121,,Segment,4,13,Image 1,7,1,100000002,510000000339,
115,,Segment,4,12,Image 1,6,1,100000002,510000000349,
115,,Segment,4,11,Image 1,6,1,100000002,510000000356,
143,,Segment,4,10,Image 1,6,1,100000002,510000000380,
187,,Segment,4,9,Image 1,5,1,100000002,510000000407,
163,,Segment,4,8,Image 1,4,1,100000002,510000000421,
178,,Segment,4,6,Image 1,3,1,100000002,510000000437,
178,,Segment,4,5,Image 1,3,1,100000002,510000000442,
195,,Segment,4,4,Image 1,2,1,100000002,510000000445,
195,,Segment,4,3,Image 1,2,1,100000002,510000000455,
183,,Segment,4,2,Image 1,2,1,100000002,510000000467,
175,,Segment,4,1,Image 1,2,1,100000002,510000000474,
175,,Segment,4,0,Image 1,1,1,100000002,510000000496,
78,,Segment,4,13,Image 1,6,1,100000002,510000000510,
115,,Segment,4,12,Image 1,7,1,100000002,510000000514,
88,,Segment,4,11,Image 1,7,1,100000002,510000000517,
110,,Segment,4,5,Image 1,6,1,100000000,510000000523,
131,,Segment,4,4,Image 1,5,1,100000000,510000000548,
144,,Segment,4,3,Image 1,4,1,100000000,510000000561,
172,,Segment,4,2,Image 1,3,1,100000000,510000000595,
175,,Segment,4,1,Image 1,2,1,100000000,510000000608,
181,,Segment,4,0,Image 1,1,1,100000000,510000000632,
137,,Segment,4,5,Image 1,5,1,100000000,510000000638,
135,,Segment,4,4,Image 1,4,1,100000000,510000000650,
127,,Segment,4,4,Image 1,3,1,100000000,510000000665,
154,,Segment,4,3,Image 1,3,1,100000000,510000000678,
129,,Segment,4,4,Image 1,4,1,100000000,510000000685,
146,,Segment,4,2,Image 1,2,1,100000000,510000000697,
96,,Segment,4,9,Image 1,3,1,100000001,510000000704,
124,,Segment,4,8,Image 1,3,1,100000001,510000000720,
94,,Segment,4,7,Image 1,3,1,100000001,510000000723,
194,,Segment,4,6,Image 1,3,1,100000001,510000000764,
165,,Segment,4,5,Image 1,2,1,100000001,510000000796,
175,,Segment,4,4,Image 1,2,1,100000001,510000000799,
165,,Segment,4,3,Image 1,2,1,100000001,510000000828,
166,,Segment,4,2,Image 1,2,1,100000001,510000000832,
188,,Segment,4,1,Image 1,2,1,100000001,510000000844,
199,,Segment,4,0,Image 1,1,1,100000001,510000000874,
96,,Segment,4,7,Image 1,4,1,100000001,510000000898,
124,,Segment,4,9,Image 1,4,1,100000001,510000000904,
84,,Segment,4,8,Image 1,4,1,100000001,510000000908,
119,,Segment,4,12,Image 1,6,1,100000002,510000000918,
148,,Segment,4,11,Image 1,5,1,100000002,510000000937,
150,,Segment,4,10,Image 1,4,1,100000002,510000000964,
198,,Segment,4,9,Image 1,3,1,100000002,510000000995,
178,,Segment,4,8,Image 1,3,1,100000002,510000001006,
190,,Segment,4,7,Image 1,3,1,100000002,510000001015,
116,,Segment,4,8,Image 1,5,1,100000002,510000001037,
131,,Segment,4,7,Image 1,5,1,100000002,510000001085,
178,,Segment,4,6,Image 1,4,1,100000002,510000001091,
137,,Segment,4,5,Image 1,2,1,100000001,510000001110,
153,,Segment,4,4,Image 1,1,1,100000001,510000001143,
127,,Segment,4,3,Image 1,1,1,100000001,510000001154,
130,,Segment,4,2,Image 1,1,1,100000001,510000001165,
184,,Segment,4,1,Image 1,1,1,100000001,510000001197,
184,,Segment,4,0,Image 1,1,1,100000001,510000001219,
190,,Segment,4,5,Image 1,1,1,100000001,510000001252,
116,,Segment,4,3,Image 1,3,1,100000001,510000001270,
130,,Segment,4,2,Image 1,2,1,100000001,510000001317,
66,,Segment,4,8,Image 1,6,1,100000002,510000001329,
188,,Segment,4,7,Image 1,2,1,100000000,510000001365,
148,,Segment,4,6,Image 1,2,1,100000000,510000001388,
186,,Segment,4,5,Image 1,2,1,100000000,510000001390,
186,,Segment,4,4,Image 1,1,1,100000000,510000001397,
189,,Segment,4,3,Image 1,1,1,100000000,510000001399,
191,,Segment,4,2,Image 1,1,1,100000000,510000001414,
191,,Segment,4,1,Image 1,1,1,100000000,510000001417,
191,,Segment,4,0,Image 1,1,1,100000000,510000001444,
116,,Segment,4,3,Image 1,2,1,100000001,510000001467,
158,,Segment,4,11,Image 1,4,1,100000002,510000001488,
158,,Segment,4,9,Image 1,4,1,100000002,510000001497,
157,,Segment,4,3,Image 1,2,1,100000001,510000001523,
118,,Segment,4,11,Image 1,4,1,100000002,510000001525,
135,,Segment,4,6,Image 1,3,1,100000001,510000001530,
135,,Segment,4,5,Image 1,2,1,100000001,510000001533,
121,,Segment,4,4,Image 1,2,1,100000001,510000001551,
125,,Segment,4,7,Image 1,3,1,100000000,510000001568,
172,,Segment,4,5,Image 1,4,1,100000001,510000001581,
165,,Segment,4,4,Image 1,3,1,100000001,510000001586,
107,,Segment,4,2,Image 1,2,1,100000000,510000001601,
181,,Segment,4,1,Image 1,1,1,100000000,510000001646,
127,,Segment,4,9,Image 1,3,1,100000000,510000001652,
156,,Segment,4,8,Image 1,2,1,100000000,510000001663,
156,,Segment,4,7,Image 1,1,1,100000000,510000001667,
178,,Segment,4,6,Image 1,1,1,100000000,510000001686,
191,,Segment,4,5,Image 1,1,1,100000000,510000001735,
191,,Segment,4,4,Image 1,1,1,100000000,510000001745,
199,,Segment,4,3,Image 1,1,1,100000000,510000001750,
114,,Segment,4,8,Image 1,3,1,100000000,510000001768,
155,,Segment,4,7,Image 1,2,1,100000000,510000001784,
135,,Segment,4,2,Image 1,1,1,100000000,510000001799,
169,,Segment,4,5,Image 1,3,1,100000000,510000001845,
187,,Segment,4,4,Image 1,2,1,100000000,510000001887,
159,,Segment,4,5,Image 1,3,1,100000001,510000001927,
102,,Segment,4,5,Image 1,3,1,100000001,510000001931,
135,,Segment,4,6,Image 1,2,1,100000001,510000001933,
101,,Segment,4,6,Image 1,2,1,100000001,510000001935,
114,,Segment,4,8,Image 1,2,1,100000000,510000001941,
176,,Segment,4,11,Image 1,6,1,100000002,510000001953,
176,,Segment,4,10,Image 1,5,1,100000002,510000001958,
191,,Segment,4,5,Image 1,2,1,100000000,510000002002,
158,,Segment,4,10,Image 1,5,1,100000002,510000002010,
148,,Segment,4,3,Image 1,3,1,100000000,510000002039,
117,,Segment,4,2,Image 1,2,1,100000000,510000002059,
190,,Segment,4,1,Image 1,1,1,100000000,510000002099,
190,,Segment,4,0,Image 1,1,1,100000000,510000002105,
166,,Segment,4,4,Image 1,1,1,100000001,510000002132,
137,,Segment,4,3,Image 1,1,1,100000001,510000002140,
193,,Segment,4,2,Image 1,1,1,100000001,510000002163,
184,,Segment,4,1,Image 1,1,1,100000001,510000002165,
