
Soma Intensity Median Ch=4 Img=1
 ==================== 
Soma Intensity Median,Unit,Category,Channel,Image,Time,FilamentID,ID,
110.062,,Soma,4,Image 1,1,100000000,800000000,
89.0625,,Soma,4,Image 1,1,100000001,800000001,
83.0625,,Soma,4,Image 1,1,100000002,800000002,
