
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.253351,µm,Spine,8,3,1,100000000,610000003567,
0.471039,µm,Spine,9,3,1,100000000,610000003570,
0.668263,µm,Spine,9,5,1,100000002,610000003575,
0.713558,µm,Spine,2,1,1,100000000,610000003579,
0.602337,µm,Spine,13,7,1,100000002,610000003590,
0.459972,µm,Spine,6,2,1,100000000,610000003594,
0.31521,µm,Spine,4,1,1,100000001,610000003597,
0.1625,µm,Spine,0,1,1,100000000,610000003601,
0.459972,µm,Spine,6,2,1,100000000,610000003605,
0.40625,µm,Spine,13,7,1,100000002,610000003613,
0.304724,µm,Spine,2,3,1,100000000,610000003617,
0.378531,µm,Spine,0,1,1,100000001,610000003620,
0.461576,µm,Spine,0,1,1,100000000,610000003622,
0.330606,µm,Spine,4,1,1,100000001,610000003624,
0.40625,µm,Spine,13,7,1,100000002,610000003632,
0.432349,µm,Spine,11,5,1,100000002,610000003636,
0.353405,µm,Spine,3,3,1,100000000,610000003638,
0.396728,µm,Spine,5,1,1,100000000,610000003642,
0.547754,µm,Spine,2,2,1,100000002,610000003645,
0.612866,µm,Spine,13,7,1,100000002,610000003650,
0.500841,µm,Spine,4,3,1,100000002,610000003653,
0.406405,µm,Spine,9,3,1,100000000,610000003656,
0.434187,µm,Spine,4,2,1,100000000,610000003659,
0.541677,µm,Spine,0,1,1,100000001,610000003662,
0.478773,µm,Spine,5,3,1,100000000,610000003668,
0.379757,µm,Spine,5,1,1,100000000,610000003670,
0.432887,µm,Spine,4,2,1,100000000,610000003680,
0.484847,µm,Spine,6,3,1,100000000,610000003682,
0.545755,µm,Spine,2,3,1,100000000,610000003687,
0.353405,µm,Spine,3,3,1,100000000,610000003690,
0.336761,µm,Spine,2,1,1,100000001,610000003695,
0.422562,µm,Spine,5,4,1,100000000,610000003698,
0.347331,µm,Spine,5,2,1,100000001,610000003700,
0.831943,µm,Spine,9,5,1,100000002,610000003704,
0.329576,µm,Spine,9,4,1,100000000,610000003707,
0.320331,µm,Spine,1,2,1,100000000,610000003711,
0.40625,µm,Spine,13,7,1,100000002,610000003716,
0.298362,µm,Spine,3,3,1,100000000,610000003718,
0.445642,µm,Spine,1,1,1,100000001,610000003721,
0.484494,µm,Spine,0,1,1,100000001,610000003724,
0.329283,µm,Spine,5,4,1,100000002,610000003728,
0.350724,µm,Spine,5,4,1,100000002,610000003730,
0.600561,µm,Spine,1,1,1,100000001,610000003732,
0.305014,µm,Spine,3,3,1,100000000,610000003737,
0.464358,µm,Spine,5,1,1,100000000,610000003739,
0.302089,µm,Spine,2,3,1,100000000,610000003741,
0.337282,µm,Spine,9,3,1,100000002,610000003743,
0.56875,µm,Spine,5,3,1,100000000,610000003747,
0.297149,µm,Spine,5,2,1,100000001,610000003750,
0.304724,µm,Spine,2,3,1,100000000,610000003752,
0.461835,µm,Spine,13,7,1,100000002,610000003756,
0.41282,µm,Spine,4,2,1,100000001,610000003758,
0.27342,µm,Spine,3,3,1,100000000,610000003760,
0.35592,µm,Spine,0,1,1,100000000,610000003762,
0.292987,µm,Spine,2,2,1,100000000,610000003765,
0.759504,µm,Spine,0,1,1,100000000,610000003769,
0.334942,µm,Spine,2,2,1,100000000,610000003771,
0.533621,µm,Spine,1,1,1,100000001,610000003774,
0.545755,µm,Spine,2,3,1,100000000,610000003778,
0.362511,µm,Spine,5,3,1,100000000,610000003781,
0.567204,µm,Spine,2,1,1,100000001,610000003784,
0.296337,µm,Spine,0,1,1,100000000,610000003786,
0.303197,µm,Spine,3,3,1,100000000,610000003788,
0.555574,µm,Spine,2,1,1,100000001,610000003791,
0.378057,µm,Spine,6,1,1,100000000,610000003795,
0.319587,µm,Spine,5,3,1,100000000,610000003800,
0.396297,µm,Spine,0,1,1,100000000,610000003805,
0.44946,µm,Spine,5,3,1,100000000,610000003808,
0.326926,µm,Spine,5,3,1,100000000,610000003810,
0.505711,µm,Spine,0,1,1,100000000,610000003814,
0.357219,µm,Spine,1,2,1,100000001,610000003821,
0.559164,µm,Spine,4,3,1,100000002,610000003824,
0.863123,µm,Spine,8,4,1,100000002,610000003826,
0.597637,µm,Spine,0,1,1,100000000,610000003829,
0.298376,µm,Spine,2,1,1,100000001,610000003831,
0.394853,µm,Spine,4,1,1,100000000,610000003833,
0.321191,µm,Spine,0,1,1,100000000,610000003835,
0.321766,µm,Spine,0,1,1,100000000,610000003838,
0.349868,µm,Spine,0,1,1,100000001,610000003840,
0.343914,µm,Spine,4,2,1,100000000,610000003843,
0.554468,µm,Spine,2,1,1,100000001,610000003849,
0.474349,µm,Spine,0,1,1,100000000,610000003854,
0.395837,µm,Spine,2,1,1,100000001,610000003856,
0.624609,µm,Spine,6,3,1,100000002,610000003858,
0.298098,µm,Spine,2,1,1,100000001,610000003860,
0.336761,µm,Spine,2,1,1,100000001,610000003864,
0.340959,µm,Spine,1,1,1,100000000,610000003866,
0.564143,µm,Spine,9,4,1,100000002,610000003869,
0.339252,µm,Spine,0,1,1,100000000,610000003873,
0.362511,µm,Spine,5,3,1,100000000,610000003875,
0.51776,µm,Spine,0,1,1,100000000,610000003878,
0.37832,µm,Spine,13,7,1,100000002,610000003880,
0.396297,µm,Spine,0,1,1,100000000,610000003884,
0.583283,µm,Spine,13,7,1,100000002,610000003886,
0.623874,µm,Spine,0,1,1,100000000,610000003888,
0.378638,µm,Spine,2,1,1,100000001,610000003890,
0.723027,µm,Spine,0,1,1,100000001,610000003893,
0.465271,µm,Spine,5,3,1,100000000,610000003896,
0.523964,µm,Spine,13,7,1,100000002,610000003899,
0.421854,µm,Spine,2,3,1,100000002,610000003902,
0.469848,µm,Spine,5,3,1,100000000,610000003906,
0.675297,µm,Spine,0,1,1,100000000,610000003908,
0.347076,µm,Spine,9,3,1,100000002,610000003910,
0.606836,µm,Spine,13,7,1,100000002,610000003913,
0.489087,µm,Spine,7,3,1,100000002,610000003915,
0.62895,µm,Spine,2,1,1,100000001,610000003917,
