
Spine Terminal Pt Position
 ==================== 
Spine Terminal Pt Position X,Spine Terminal Pt Position Y,Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-18295.8,19081.3,1466.05,µm,Spine,Spine Terminal Pt Position,,,1,,610000003599,
-18328.6,19094.9,1467.75,µm,Spine,Spine Terminal Pt Position,,,1,,610000003693,
-18328.6,19095.3,1467.65,µm,Spine,Spine Terminal Pt Position,,,1,,610000003863,
-18328.4,19095.4,1467.85,µm,Spine,Spine Terminal Pt Position,,,1,,610000004143,
-18329.9,19098.1,1466.75,µm,Spine,Spine Terminal Pt Position,,,1,,610000004146,
-18319.1,19057,1468.85,µm,Spine,Spine Terminal Pt Position,,,1,,610000004152,
-18294.6,19081.6,1467.35,µm,Spine,Spine Terminal Pt Position,,,1,,610000004172,
-18327.5,19096.6,1468.75,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003620,
-18297.2,19083,1466.95,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003622,
-18331.7,19099.8,1468.3,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003662,
-18331.5,19098.7,1468.55,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003724,
-18294.1,19079.3,1466.35,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003762,
-18293.3,19083.2,1466.72,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003786,
-18293.2,19082.2,1467.45,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003838,
-18326.5,19096.3,1468.56,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003840,
-18331.1,19099.2,1467.45,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003893,
-18330.7,19098.1,1466.45,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003923,
-18332.1,19099.2,1468.58,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000004124,
-18329.1,19095.6,1468.75,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000004132,
-18293.6,19081.9,1467.15,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000004145,
-18293.7,19082.1,1467.35,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000004146,
-18293.7,19082.7,1467.65,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000004147,
-18294.1,19079.5,1466.25,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000004168,
-18294.7,19079.4,1466.33,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000004169,
-18330.3,19092.3,1469.24,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003721,
-18331.6,19098.2,1466.25,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003732,
-18330.8,19098,1466.15,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003774,
-18295.7,19081.1,1468.35,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003866,
-18293.4,19080.2,1466.35,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000004125,
-18292.8,19080.1,1466.13,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000004126,
-18330,19092.6,1469.37,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000004133,
-18331.3,19098,1466.74,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000004138,
-18293.6,19084,1469.45,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000004149,
-18293.5,19083.8,1468.92,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000004150,
-18295,19081,1468.35,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000004164,
-18292.1,19083.6,1466.35,µm,Spine,Spine Terminal Pt Position,1,2,1,100000000,610000003711,
-18330.7,19098.6,1466.06,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000003821,
-18292.4,19080.4,1466.95,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000004124,
-18292.3,19083.7,1466.62,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000004151,
-18297.8,19083.3,1466.99,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000004159,
-18299.3,19072.7,1466.26,µm,Spine,Spine Terminal Pt Position,10,4,1,,610000004141,
-18332.8,19061.1,1468.55,µm,Spine,Spine Terminal Pt Position,10,5,1,,610000004147,
-18331.1,19061.3,1467.05,µm,Spine,Spine Terminal Pt Position,11,4,1,,610000004140,
-18332.8,19061,1468.94,µm,Spine,Spine Terminal Pt Position,11,5,1,100000002,610000003636,
-18298,19072.4,1468.08,µm,Spine,Spine Terminal Pt Position,12,6,1,,610000004144,
-18330.9,19065.3,1469.75,µm,Spine,Spine Terminal Pt Position,13,7,1,,610000004148,
-18330.7,19065.4,1470.35,µm,Spine,Spine Terminal Pt Position,13,7,1,,610000004149,
-18291.3,19085.8,1469.65,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003579,
-18332.5,19097.3,1466.55,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000003784,
-18292.6,19079.7,1466.15,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003925,
-18325.2,19059.5,1468.65,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000004124,
-18325.5,19059.3,1469.05,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000004125,
-18324.9,19059.2,1468.85,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000004126,
-18325.2,19095.9,1469.12,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000004135,
-18333.3,19097.7,1466.23,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000004139,
-18332.2,19097.6,1466.65,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000004140,
-18292,19085.8,1469.95,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000004148,
-18325.7,19059.3,1468.25,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000003645,
-18293.9,19079.1,1466.25,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003765,
-18293.8,19079.5,1466.35,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003771,
-18331.8,19096,1466.05,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003991,
-18293.2,19079.3,1466.65,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000004127,
-18325.9,19059.5,1468.75,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000004128,
-18293.2,19084.8,1466.25,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000004152,
-18292.8,19084.9,1466.75,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000004153,
-18292.6,19084.8,1466.65,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000004154,
-18291.3,19084.3,1466.75,µm,Spine,Spine Terminal Pt Position,2,3,1,100000000,610000003617,
-18292.3,19083.7,1468.95,µm,Spine,Spine Terminal Pt Position,2,3,1,100000000,610000003687,
-18291.1,19083.9,1466.25,µm,Spine,Spine Terminal Pt Position,2,3,1,100000000,610000003741,
-18291.3,19084.1,1466.65,µm,Spine,Spine Terminal Pt Position,2,3,1,100000000,610000003752,
-18292.4,19083.5,1468.95,µm,Spine,Spine Terminal Pt Position,2,3,1,100000000,610000003778,
-18325.4,19058.3,1468.65,µm,Spine,Spine Terminal Pt Position,2,3,1,100000002,610000003902,
-18291.5,19084.1,1466.75,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000004155,
-18291.2,19084.9,1466.05,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000004156,
-18326.4,19059.6,1468.75,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000004132,
-18326.7,19059.7,1468.75,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000004133,
-18324.2,19095.4,1470.35,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000004136,
-18295.6,19076.9,1469.75,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000003638,
-18295.6,19076.7,1469.85,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000003690,
-18290.8,19086.6,1466.07,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000003718,
-18290.9,19085.6,1466.05,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000003737,
-18295.9,19076.5,1469.85,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000003760,
-18296.1,19076.5,1469.95,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000003788,
-18324.4,19060.2,1468.73,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000004127,
-18290.6,19086.6,1466.59,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000004157,
-18295.8,19076.7,1469.95,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000004165,
-18296,19077,1470.35,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000004166,
-18326.4,19089.1,1469.25,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000003597,
-18326.3,19089,1469.15,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000003624,
-18299.5,19082.1,1467.95,µm,Spine,Spine Terminal Pt Position,4,1,1,100000000,610000003833,
-18327,19089.7,1468.65,µm,Spine,Spine Terminal Pt Position,4,1,1,,610000004134,
-18323.1,19093.5,1469.85,µm,Spine,Spine Terminal Pt Position,4,1,1,,610000004137,
-18288.5,19077.5,1466.45,µm,Spine,Spine Terminal Pt Position,4,2,1,100000000,610000003659,
-18287.8,19077,1466.05,µm,Spine,Spine Terminal Pt Position,4,2,1,100000000,610000003680,
-18329.4,19101,1469.75,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000003758,
-18289.9,19079.3,1466.35,µm,Spine,Spine Terminal Pt Position,4,2,1,100000000,610000003843,
-18288.6,19077.1,1466.14,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000004130,
-18289,19077.3,1466.05,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000004131,
-18290,19078,1466.05,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000004132,
-18290,19079.1,1466.35,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000004133,
-18290.6,19076.9,1468.35,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000004135,
-18291.7,19078.9,1467.75,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000004136,
-18302.5,19081.6,1467.05,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000004160,
-18326.2,19058.9,1467.75,µm,Spine,Spine Terminal Pt Position,4,3,1,100000002,610000003653,
-18326.8,19059.9,1468.65,µm,Spine,Spine Terminal Pt Position,4,3,1,100000002,610000003824,
-18326.2,19058.7,1467.75,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000004131,
-18296.9,19076.1,1467.05,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000004137,
-18290.3,19088.7,1466.65,µm,Spine,Spine Terminal Pt Position,4,5,1,,610000004158,
-18290,19081.2,1466.75,µm,Spine,Spine Terminal Pt Position,5,1,1,100000000,610000003642,
-18290.9,19081.1,1467.35,µm,Spine,Spine Terminal Pt Position,5,1,1,100000000,610000003670,
-18290.8,19080.5,1467.39,µm,Spine,Spine Terminal Pt Position,5,1,1,100000000,610000003739,
-18326.8,19102.5,1468.25,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000003700,
-18325.4,19088.8,1469.55,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000003750,
-18326.8,19102.3,1468.25,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000004127,
