
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1466.85,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.63,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1467.31,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.64,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1467.31,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1467.77,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.85,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.63,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.85,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.63,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1468.71,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.68,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.82,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.68,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.82,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
