
Spine Mean Diameter
 ==================== 
Spine Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.204488,µm,Spine,8,3,1,100000000,610000003567,
0.335959,µm,Spine,9,3,1,100000000,610000003570,
0.480518,µm,Spine,9,5,1,100000002,610000003575,
0.527286,µm,Spine,2,1,1,100000000,610000003579,
0.46736,µm,Spine,13,7,1,100000002,610000003590,
0.286818,µm,Spine,6,2,1,100000000,610000003594,
0.233557,µm,Spine,4,1,1,100000001,610000003597,
0.1625,µm,Spine,0,1,1,100000000,610000003601,
0.317898,µm,Spine,6,2,1,100000000,610000003605,
0.333603,µm,Spine,13,7,1,100000002,610000003613,
0.274174,µm,Spine,2,3,1,100000000,610000003617,
0.272491,µm,Spine,0,1,1,100000001,610000003620,
0.347265,µm,Spine,0,1,1,100000000,610000003622,
0.262375,µm,Spine,4,1,1,100000001,610000003624,
0.328086,µm,Spine,13,7,1,100000002,610000003632,
0.363171,µm,Spine,11,5,1,100000002,610000003636,
0.320012,µm,Spine,3,3,1,100000000,610000003638,
0.279183,µm,Spine,5,1,1,100000000,610000003642,
0.312769,µm,Spine,2,2,1,100000002,610000003645,
0.435724,µm,Spine,13,7,1,100000002,610000003650,
0.306864,µm,Spine,4,3,1,100000002,610000003653,
0.309308,µm,Spine,9,3,1,100000000,610000003656,
0.343089,µm,Spine,4,2,1,100000000,610000003659,
0.438009,µm,Spine,0,1,1,100000001,610000003662,
0.28423,µm,Spine,5,3,1,100000000,610000003668,
0.340604,µm,Spine,5,1,1,100000000,610000003670,
0.302541,µm,Spine,4,2,1,100000000,610000003680,
0.333002,µm,Spine,6,3,1,100000000,610000003682,
0.335045,µm,Spine,2,3,1,100000000,610000003687,
0.292639,µm,Spine,3,3,1,100000000,610000003690,
0.244786,µm,Spine,2,1,1,100000001,610000003695,
0.290443,µm,Spine,5,4,1,100000000,610000003698,
0.256298,µm,Spine,5,2,1,100000001,610000003700,
0.477026,µm,Spine,9,5,1,100000002,610000003704,
0.25544,µm,Spine,9,4,1,100000000,610000003707,
0.261789,µm,Spine,1,2,1,100000000,610000003711,
0.379634,µm,Spine,13,7,1,100000002,610000003716,
0.221854,µm,Spine,3,3,1,100000000,610000003718,
0.348833,µm,Spine,1,1,1,100000001,610000003721,
0.384936,µm,Spine,0,1,1,100000001,610000003724,
0.313782,µm,Spine,5,4,1,100000002,610000003728,
0.32502,µm,Spine,5,4,1,100000002,610000003730,
0.469938,µm,Spine,1,1,1,100000001,610000003732,
0.278889,µm,Spine,3,3,1,100000000,610000003737,
0.409092,µm,Spine,5,1,1,100000000,610000003739,
0.27248,µm,Spine,2,3,1,100000000,610000003741,
0.277646,µm,Spine,9,3,1,100000002,610000003743,
0.350918,µm,Spine,5,3,1,100000000,610000003747,
0.267149,µm,Spine,5,2,1,100000001,610000003750,
0.303235,µm,Spine,2,3,1,100000000,610000003752,
0.431778,µm,Spine,13,7,1,100000002,610000003756,
0.33494,µm,Spine,4,2,1,100000001,610000003758,
0.267753,µm,Spine,3,3,1,100000000,610000003760,
0.313393,µm,Spine,0,1,1,100000000,610000003762,
0.233079,µm,Spine,2,2,1,100000000,610000003765,
0.67597,µm,Spine,0,1,1,100000000,610000003769,
0.244215,µm,Spine,2,2,1,100000000,610000003771,
0.266706,µm,Spine,1,1,1,100000001,610000003774,
0.36331,µm,Spine,2,3,1,100000000,610000003778,
0.296459,µm,Spine,5,3,1,100000000,610000003781,
0.383319,µm,Spine,2,1,1,100000001,610000003784,
0.241223,µm,Spine,0,1,1,100000000,610000003786,
0.272748,µm,Spine,3,3,1,100000000,610000003788,
0.488268,µm,Spine,2,1,1,100000001,610000003791,
0.243345,µm,Spine,6,1,1,100000000,610000003795,
0.296217,µm,Spine,5,3,1,100000000,610000003800,
0.361035,µm,Spine,0,1,1,100000000,610000003805,
0.338373,µm,Spine,5,3,1,100000000,610000003808,
0.309611,µm,Spine,5,3,1,100000000,610000003810,
0.46363,µm,Spine,0,1,1,100000000,610000003814,
0.246354,µm,Spine,1,2,1,100000001,610000003821,
0.453446,µm,Spine,4,3,1,100000002,610000003824,
0.632197,µm,Spine,8,4,1,100000002,610000003826,
0.591114,µm,Spine,0,1,1,100000000,610000003829,
0.25844,µm,Spine,2,1,1,100000001,610000003831,
0.34236,µm,Spine,4,1,1,100000000,610000003833,
0.318176,µm,Spine,0,1,1,100000000,610000003835,
0.301646,µm,Spine,0,1,1,100000000,610000003838,
0.265861,µm,Spine,0,1,1,100000001,610000003840,
0.243119,µm,Spine,4,2,1,100000000,610000003843,
0.517224,µm,Spine,2,1,1,100000001,610000003849,
0.38941,µm,Spine,0,1,1,100000000,610000003854,
0.356769,µm,Spine,2,1,1,100000001,610000003856,
0.485625,µm,Spine,6,3,1,100000002,610000003858,
0.285462,µm,Spine,2,1,1,100000001,610000003860,
0.298661,µm,Spine,2,1,1,100000001,610000003864,
0.302494,µm,Spine,1,1,1,100000000,610000003866,
0.444263,µm,Spine,9,4,1,100000002,610000003869,
0.328146,µm,Spine,0,1,1,100000000,610000003873,
0.314029,µm,Spine,5,3,1,100000000,610000003875,
0.437467,µm,Spine,0,1,1,100000000,610000003878,
0.37351,µm,Spine,13,7,1,100000002,610000003880,
0.370258,µm,Spine,0,1,1,100000000,610000003884,
0.492192,µm,Spine,13,7,1,100000002,610000003886,
0.557732,µm,Spine,0,1,1,100000000,610000003888,
0.307528,µm,Spine,2,1,1,100000001,610000003890,
0.51402,µm,Spine,0,1,1,100000001,610000003893,
0.387614,µm,Spine,5,3,1,100000000,610000003896,
