
Spine Part Volume Head
 ==================== 
Spine Part Volume Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.209039,µm^3,Spine,Spine Part Volume,4,3,1,100000004,610000005406,
0.199535,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005418,
0.184602,µm^3,Spine,Spine Part Volume,7,2,1,100000002,610000005426,
0.27524,µm^3,Spine,Spine Part Volume,4,2,1,100000004,610000005443,
0.117774,µm^3,Spine,Spine Part Volume,4,3,1,100000002,610000005448,
0.661133,µm^3,Spine,Spine Part Volume,6,2,1,100000002,610000005460,
0.615775,µm^3,Spine,Spine Part Volume,8,1,1,100000002,610000005471,
0.402175,µm^3,Spine,Spine Part Volume,8,1,1,100000002,610000005480,
0.30641,µm^3,Spine,Spine Part Volume,1,2,1,100000004,610000005485,
0.0730092,µm^3,Spine,Spine Part Volume,7,3,1,100000002,610000005491,
0.352802,µm^3,Spine,Spine Part Volume,5,4,1,100000003,610000005496,
0.132804,µm^3,Spine,Spine Part Volume,5,4,1,100000003,610000005499,
0.055528,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005505,
0.0969956,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005514,
0.0989702,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005521,
0.0872314,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005528,
0.114177,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005534,
1.11093,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005541,
0.281444,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005545,
0.0517921,µm^3,Spine,Spine Part Volume,25,8,1,100000002,610000005547,
0.018938,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005551,
0.110762,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005556,
0.0651444,µm^3,Spine,Spine Part Volume,18,6,1,100000002,610000005558,
0.433417,µm^3,Spine,Spine Part Volume,2,1,1,100000004,610000005562,
0.0356841,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005566,
0.0822408,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005571,
0.018938,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005574,
0.12216,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005579,
0.018938,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005584,
0.0189866,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005588,
0.0639158,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005591,
0.0385158,µm^3,Spine,Spine Part Volume,3,2,1,100000003,610000005593,
0.018938,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005596,
0.222181,µm^3,Spine,Spine Part Volume,26,9,1,100000002,610000005598,
0.018938,µm^3,Spine,Spine Part Volume,1,1,1,100000004,610000005600,
0.018938,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005603,
