
Segment Center Intensity Mean Ch=4 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
13.2083,,Segment,4,9,Image 1,5,1,100000002,510000000915,
73.5,,Segment,4,8,Image 1,4,1,100000002,510000000928,
89.5556,,Segment,4,7,Image 1,3,1,100000002,510000000936,
101,,Segment,4,6,Image 1,3,1,100000002,510000000940,
104,,Segment,4,5,Image 1,3,1,100000002,510000000948,
116.333,,Segment,4,4,Image 1,3,1,100000002,510000000959,
151.867,,Segment,4,3,Image 1,2,1,100000002,510000000973,
175.286,,Segment,4,1,Image 1,1,1,100000002,510000000980,
174,,Segment,4,0,Image 1,1,1,100000002,510000000983,
23.1429,,Segment,4,8,Image 1,2,1,100000002,510000001006,
63.2982,,Segment,4,7,Image 1,1,1,100000002,510000001062,
81.4667,,Segment,4,6,Image 1,1,1,100000002,510000001076,
122.25,,Segment,4,5,Image 1,1,1,100000002,510000001079,
164.25,,Segment,4,4,Image 1,1,1,100000002,510000001086,
175,,Segment,4,3,Image 1,1,1,100000002,510000001090,
7.33333,,Segment,4,5,Image 1,3,1,100000004,510000001107,
47.2857,,Segment,4,4,Image 1,2,1,100000004,510000001113,
16.1053,,Segment,4,3,Image 1,2,1,100000004,510000001131,
20.9375,,Segment,4,2,Image 1,2,1,100000004,510000001146,
5.63636,,Segment,4,1,Image 1,2,1,100000004,510000001156,
28.7,,Segment,4,0,Image 1,1,1,100000004,510000001201,
56.7143,,Segment,4,6,Image 1,6,1,100000004,510000001215,
41.5625,,Segment,4,5,Image 1,5,1,100000004,510000001230,
54.6071,,Segment,4,4,Image 1,4,1,100000004,510000001257,
176,,Segment,4,3,Image 1,3,1,100000004,510000001259,
74.5333,,Segment,4,2,Image 1,3,1,100000004,510000001288,
39.9,,Segment,4,1,Image 1,2,1,100000004,510000001307,
110.591,,Segment,4,0,Image 1,1,1,100000004,510000001328,
17.4359,,Segment,4,8,Image 1,1,1,100000002,510000001384,
16.5385,,Segment,4,30,Image 1,11,1,100000002,510000001396,
88.4545,,Segment,4,29,Image 1,10,1,100000002,510000001406,
85.7727,,Segment,4,28,Image 1,10,1,100000002,510000001427,
62.8462,,Segment,4,27,Image 1,9,1,100000002,510000001452,
69.642,,Segment,4,26,Image 1,9,1,100000002,510000001532,
0,,Segment,4,25,Image 1,9,1,100000002,510000001539,
11.0645,,Segment,4,24,Image 1,8,1,100000002,510000001569,
22.3889,,Segment,4,23,Image 1,7,1,100000002,510000001586,
29.0909,,Segment,4,21,Image 1,6,1,100000002,510000001597,
81.8824,,Segment,4,20,Image 1,5,1,100000002,510000001613,
27.8333,,Segment,4,19,Image 1,5,1,100000002,510000001618,
39.9231,,Segment,4,18,Image 1,5,1,100000002,510000001630,
49.375,,Segment,4,17,Image 1,5,1,100000002,510000001637,
74,,Segment,4,16,Image 1,5,1,100000002,510000001641,
124.696,,Segment,4,14,Image 1,5,1,100000002,510000001664,
74.0667,,Segment,4,12,Image 1,5,1,100000002,510000001679,
127,,Segment,4,11,Image 1,5,1,100000002,510000001682,
47.4,,Segment,4,10,Image 1,5,1,100000002,510000001691,
67.2,,Segment,4,8,Image 1,4,1,100000002,510000001701,
95.7692,,Segment,4,7,Image 1,4,1,100000002,510000001713,
123.25,,Segment,4,6,Image 1,5,1,100000004,510000001716,
7.40541,,Segment,4,4,Image 1,3,1,100000003,510000001752,
14.9107,,Segment,4,2,Image 1,2,1,100000003,510000001808,
63.0333,,Segment,4,1,Image 1,2,1,100000003,510000001867,
111.667,,Segment,4,0,Image 1,1,1,100000003,510000001885,
91.6667,,Segment,4,33,Image 1,13,1,100000002,510000001906,
9.08823,,Segment,4,32,Image 1,12,1,100000002,510000001939,
41.3333,,Segment,4,31,Image 1,11,1,100000002,510000001950,
40.6667,,Segment,4,30,Image 1,11,1,100000002,510000001952,
46.25,,Segment,4,29,Image 1,11,1,100000002,510000001963,
52.75,,Segment,4,34,Image 1,12,1,100000002,510000001967,
104.833,,Segment,4,33,Image 1,12,1,100000002,510000001972,
60.8,,Segment,4,34,Image 1,13,1,100000002,510000001976,
14.3,,Segment,4,7,Image 1,6,1,100000004,510000001985,
36.4211,,Segment,4,6,Image 1,5,1,100000004,510000002003,
94,,Segment,4,5,Image 1,4,1,100000004,510000002006,
16.25,,Segment,4,25,Image 1,9,1,100000002,510000002041,
18.3333,,Segment,4,24,Image 1,8,1,100000002,510000002067,
37.2857,,Segment,4,33,Image 1,11,1,100000002,510000002073,
43.9583,,Segment,4,0,Image 1,1,1,100000003,510000002112,
53.4286,,Segment,4,0,Image 1,1,1,100000002,510000002122,
150.667,,Segment,4,0,Image 1,1,1,100000002,510000002124,
21.5893,,Segment,4,0,Image 1,1,1,100000002,510000002188,
19.8235,,Segment,4,0,Image 1,1,1,100000002,510000002204,
115.75,,Segment,4,0,Image 1,1,1,100000002,510000002227,
170.933,,Segment,4,0,Image 1,1,1,100000002,510000002242,
27.1765,,Segment,4,4,Image 1,2,1,100000003,510000002258,
15.9286,,Segment,4,33,Image 1,12,1,100000002,510000002272,
35.0909,,Segment,4,4,Image 1,4,1,100000003,510000002282,
27.1379,,Segment,4,3,Image 1,3,1,100000003,510000002310,
61.6667,,Segment,4,4,Image 1,3,1,100000003,510000002312,
