
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
17.3812,°,Segment,9,5,1,100000002,510000000915,
11.4681,°,Segment,8,4,1,100000002,510000000928,
28.8229,°,Segment,7,3,1,100000002,510000000936,
30.5865,°,Segment,6,3,1,100000002,510000000940,
18.1298,°,Segment,5,3,1,100000002,510000000948,
15.6731,°,Segment,4,3,1,100000002,510000000959,
30.2856,°,Segment,3,2,1,100000002,510000000973,
3.94208,°,Segment,1,1,1,100000002,510000000980,
0,°,Segment,0,1,1,100000002,510000000983,
27.8544,°,Segment,8,2,1,100000002,510000001006,
8.2627,°,Segment,7,1,1,100000002,510000001062,
17.5121,°,Segment,6,1,1,100000002,510000001076,
18.5789,°,Segment,5,1,1,100000002,510000001079,
19.5084,°,Segment,4,1,1,100000002,510000001086,
69.4682,°,Segment,3,1,1,100000002,510000001090,
17.6058,°,Segment,5,3,1,100000004,510000001107,
15.5573,°,Segment,4,2,1,100000004,510000001113,
21.3995,°,Segment,3,2,1,100000004,510000001131,
15.2666,°,Segment,2,2,1,100000004,510000001146,
7.72662,°,Segment,1,2,1,100000004,510000001156,
0,°,Segment,0,1,1,100000004,510000001201,
26.3141,°,Segment,6,6,1,100000004,510000001215,
28.3868,°,Segment,5,5,1,100000004,510000001230,
10.4519,°,Segment,4,4,1,100000004,510000001257,
4.08557,°,Segment,3,3,1,100000004,510000001259,
25.9116,°,Segment,2,3,1,100000004,510000001288,
43.5682,°,Segment,1,2,1,100000004,510000001307,
0,°,Segment,0,1,1,100000004,510000001328,
64.9871,°,Segment,8,1,1,100000002,510000001384,
25.4788,°,Segment,30,11,1,100000002,510000001396,
3.86478,°,Segment,29,10,1,100000002,510000001406,
29.2202,°,Segment,28,10,1,100000002,510000001427,
9.70663,°,Segment,27,9,1,100000002,510000001452,
11.772,°,Segment,26,9,1,100000002,510000001532,
4.10141,°,Segment,25,9,1,100000002,510000001539,
29.9116,°,Segment,24,8,1,100000002,510000001569,
7.10153,°,Segment,23,7,1,100000002,510000001586,
26.2719,°,Segment,21,6,1,100000002,510000001597,
16.8175,°,Segment,20,5,1,100000002,510000001613,
12.2835,°,Segment,19,5,1,100000002,510000001618,
14.6907,°,Segment,18,5,1,100000002,510000001630,
2.07669,°,Segment,17,5,1,100000002,510000001637,
4.66375,°,Segment,16,5,1,100000002,510000001641,
22.2779,°,Segment,14,5,1,100000002,510000001664,
4.21584,°,Segment,12,5,1,100000002,510000001679,
8.238,°,Segment,11,5,1,100000002,510000001682,
9.07619,°,Segment,10,5,1,100000002,510000001691,
28.0999,°,Segment,8,4,1,100000002,510000001701,
103.751,°,Segment,7,4,1,100000002,510000001713,
84.8734,°,Segment,6,5,1,100000004,510000001716,
42.971,°,Segment,4,3,1,100000003,510000001752,
11.8602,°,Segment,2,2,1,100000003,510000001808,
13.3819,°,Segment,1,2,1,100000003,510000001867,
0,°,Segment,0,1,1,100000003,510000001885,
35.5863,°,Segment,33,13,1,100000002,510000001906,
44.852,°,Segment,32,12,1,100000002,510000001939,
5.77115,°,Segment,31,11,1,100000002,510000001950,
3.56513,°,Segment,30,11,1,100000002,510000001952,
67.2924,°,Segment,29,11,1,100000002,510000001963,
14.662,°,Segment,34,12,1,100000002,510000001967,
99.8418,°,Segment,33,12,1,100000002,510000001972,
83.8589,°,Segment,34,13,1,100000002,510000001976,
0.801374,°,Segment,7,6,1,100000004,510000001985,
10.3609,°,Segment,6,5,1,100000004,510000002003,
66.4199,°,Segment,5,4,1,100000004,510000002006,
33.6119,°,Segment,25,9,1,100000002,510000002041,
46.3377,°,Segment,24,8,1,100000002,510000002067,
53.0047,°,Segment,33,11,1,100000002,510000002073,
0,°,Segment,0,1,1,100000003,510000002112,
61.4805,°,Segment,4,2,1,100000003,510000002258,
105.975,°,Segment,33,12,1,100000002,510000002272,
38.3135,°,Segment,4,4,1,100000003,510000002282,
70.0653,°,Segment,3,3,1,100000003,510000002310,
73.5682,°,Segment,4,3,1,100000003,510000002312,
