
Spine Mean Diameter
 ==================== 
Spine Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.451881,µm,Spine,4,3,1,100000004,610000005406,
0.48125,µm,Spine,1,1,1,100000004,610000005418,
0.470996,µm,Spine,7,2,1,100000002,610000005426,
0.524921,µm,Spine,4,2,1,100000004,610000005443,
0.511869,µm,Spine,4,3,1,100000002,610000005448,
0.567661,µm,Spine,6,2,1,100000002,610000005460,
0.582464,µm,Spine,8,1,1,100000002,610000005471,
0.545759,µm,Spine,8,1,1,100000002,610000005480,
0.623128,µm,Spine,1,2,1,100000004,610000005485,
0.41865,µm,Spine,7,3,1,100000002,610000005491,
0.749217,µm,Spine,5,4,1,100000003,610000005496,
0.708958,µm,Spine,5,4,1,100000003,610000005499,
1.05626,µm,Spine,0,1,1,100000003,610000005505,
0.416666,µm,Spine,0,1,1,100000003,610000005514,
0.754549,µm,Spine,0,1,1,100000003,610000005521,
0.416666,µm,Spine,0,1,1,100000003,610000005528,
0.552848,µm,Spine,1,1,1,100000004,610000005534,
0.613701,µm,Spine,1,1,1,100000004,610000005541,
0.979084,µm,Spine,0,1,1,100000003,610000005545,
0.720388,µm,Spine,25,8,1,100000002,610000005547,
0.450846,µm,Spine,1,1,1,100000004,610000005551,
0.570554,µm,Spine,1,1,1,100000004,610000005556,
0.722416,µm,Spine,18,6,1,100000002,610000005558,
1.47765,µm,Spine,2,1,1,100000004,610000005562,
0.607122,µm,Spine,1,1,1,100000004,610000005566,
0.570834,µm,Spine,0,1,1,100000003,610000005571,
0.496283,µm,Spine,1,1,1,100000004,610000005574,
0.669759,µm,Spine,1,1,1,100000004,610000005579,
0.416666,µm,Spine,0,1,1,100000003,610000005584,
0.418892,µm,Spine,1,1,1,100000004,610000005588,
0.699025,µm,Spine,1,2,1,100000003,610000005591,
0.726591,µm,Spine,3,2,1,100000003,610000005593,
0.416666,µm,Spine,0,1,1,100000003,610000005596,
0.960995,µm,Spine,26,9,1,100000002,610000005598,
0.416666,µm,Spine,1,1,1,100000004,610000005600,
0.416666,µm,Spine,0,1,1,100000003,610000005603,
1.07549,µm,Spine,4,2,1,100000002,610000005607,
0.74471,µm,Spine,0,1,1,100000004,610000005609,
0.598653,µm,Spine,1,1,1,100000004,610000005613,
0.416666,µm,Spine,0,1,1,100000003,610000005615,
0.825015,µm,Spine,1,1,1,100000004,610000005619,
1.39025,µm,Spine,0,1,1,100000003,610000005622,
0.520865,µm,Spine,0,1,1,100000003,610000005625,
0.47621,µm,Spine,1,1,1,100000004,610000005628,
0.655969,µm,Spine,0,1,1,100000003,610000005631,
0.420396,µm,Spine,0,1,1,100000003,610000005634,
0.461275,µm,Spine,1,1,1,100000004,610000005637,
1.34181,µm,Spine,7,3,1,100000002,610000005644,
0.825367,µm,Spine,14,5,1,100000002,610000005647,
0.766124,µm,Spine,1,1,1,100000004,610000005650,
0.535758,µm,Spine,0,1,1,100000003,610000005653,
0.760009,µm,Spine,8,1,1,100000002,610000005656,
1.10033,µm,Spine,5,4,1,100000002,610000005658,
0.912587,µm,Spine,0,1,1,100000003,610000005662,
1.14211,µm,Spine,4,2,1,100000004,610000005664,
0.419865,µm,Spine,1,1,1,100000004,610000005666,
0.764378,µm,Spine,5,2,1,100000004,610000005669,
0.504014,µm,Spine,1,1,1,100000004,610000005672,
0.658467,µm,Spine,1,1,1,100000004,610000005674,
0.416666,µm,Spine,1,1,1,100000004,610000005677,
0.747325,µm,Spine,0,1,1,100000003,610000005680,
0.822066,µm,Spine,0,1,1,100000003,610000005683,
0.849887,µm,Spine,1,1,1,100000004,610000005685,
0.416666,µm,Spine,0,1,1,100000003,610000005688,
1.42515,µm,Spine,0,1,1,100000003,610000005692,
0.417762,µm,Spine,1,1,1,100000004,610000005694,
0.597793,µm,Spine,1,1,1,100000004,610000005696,
0.597353,µm,Spine,1,1,1,100000004,610000005699,
0.698242,µm,Spine,1,1,1,100000004,610000005702,
0.982842,µm,Spine,1,1,1,100000004,610000005705,
0.47587,µm,Spine,1,1,1,100000004,610000005707,
1.10333,µm,Spine,0,1,1,100000003,610000005709,
0.695028,µm,Spine,1,1,1,100000004,610000005712,
0.466563,µm,Spine,1,1,1,100000004,610000005714,
0.439635,µm,Spine,1,1,1,100000004,610000005717,
1.00939,µm,Spine,1,1,1,100000004,610000005721,
0.481052,µm,Spine,1,1,1,100000004,610000005723,
0.416666,µm,Spine,1,1,1,100000004,610000005726,
0.416666,µm,Spine,1,1,1,100000004,610000005729,
1.16926,µm,Spine,4,2,1,100000002,610000005731,
0.589679,µm,Spine,1,1,1,100000004,610000005734,
0.828697,µm,Spine,7,4,1,100000002,610000005736,
0.976736,µm,Spine,4,2,1,100000004,610000005738,
1.1733,µm,Spine,0,1,1,100000003,610000005741,
0.876869,µm,Spine,1,1,1,100000004,610000005743,
0.518108,µm,Spine,0,1,1,100000003,610000005747,
0.8332,µm,Spine,0,1,1,100000003,610000005754,
0.789302,µm,Spine,1,1,1,100000004,610000005757,
1.38281,µm,Spine,2,1,1,100000004,610000005766,
0.829647,µm,Spine,0,1,1,100000003,610000005771,
1.1856,µm,Spine,7,3,1,100000002,610000005813,
0.644868,µm,Spine,33,13,1,100000002,610000005814,
1.04715,µm,Spine,25,8,1,100000002,610000005815,
0.491656,µm,Spine,20,6,1,100000002,610000005816,
0.855742,µm,Spine,11,5,1,100000002,610000005817,
0.491223,µm,Spine,11,6,1,100000002,610000005818,
0.947312,µm,Spine,8,4,1,100000002,610000005819,
1.33939,µm,Spine,7,4,1,100000002,610000005820,
1.46502,µm,Spine,5,3,1,100000002,610000005821,
1.35834,µm,Spine,5,3,1,100000002,610000005822,
0.705475,µm,Spine,5,4,1,100000002,610000005823,
1.41646,µm,Spine,4,2,1,100000002,610000005824,
0.945243,µm,Spine,7,3,1,100000002,610000005827,
0.952416,µm,Spine,3,3,1,100000003,610000005828,
0.713875,µm,Spine,5,4,1,100000003,610000005829,
1.57829,µm,Spine,2,1,1,100000003,610000005830,
1.50433,µm,Spine,0,1,1,100000003,610000005831,
0.981463,µm,Spine,0,1,1,100000003,610000005835,
0.520664,µm,Spine,1,2,1,100000003,610000005837,
0.947617,µm,Spine,0,1,1,100000003,610000005841,
1.23983,µm,Spine,1,1,1,100000003,610000005849,
0.861033,µm,Spine,0,1,1,100000003,610000005850,
0.802046,µm,Spine,5,2,1,100000004,610000005856,
1.03669,µm,Spine,3,2,1,100000004,610000005857,
1.17648,µm,Spine,1,1,1,100000004,610000005858,
0.878154,µm,Spine,0,1,1,100000004,610000005859,
0.897296,µm,Spine,0,1,1,100000004,610000005860,
0.774806,µm,Spine,1,1,1,100000004,610000005866,
