
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
5,,Segment,9,5,1,100000002,510000000915,
4,,Segment,8,4,1,100000002,510000000928,
3,,Segment,7,3,1,100000002,510000000936,
3,,Segment,6,3,1,100000002,510000000940,
3,,Segment,5,3,1,100000002,510000000948,
3,,Segment,4,3,1,100000002,510000000959,
2,,Segment,3,2,1,100000002,510000000973,
1,,Segment,1,1,1,100000002,510000000980,
1,,Segment,0,1,1,100000002,510000000983,
2,,Segment,8,2,1,100000002,510000001006,
1,,Segment,7,1,1,100000002,510000001062,
1,,Segment,6,1,1,100000002,510000001076,
1,,Segment,5,1,1,100000002,510000001079,
1,,Segment,4,1,1,100000002,510000001086,
1,,Segment,3,1,1,100000002,510000001090,
3,,Segment,5,3,1,100000004,510000001107,
2,,Segment,4,2,1,100000004,510000001113,
2,,Segment,3,2,1,100000004,510000001131,
2,,Segment,2,2,1,100000004,510000001146,
2,,Segment,1,2,1,100000004,510000001156,
1,,Segment,0,1,1,100000004,510000001201,
6,,Segment,6,6,1,100000004,510000001215,
5,,Segment,5,5,1,100000004,510000001230,
4,,Segment,4,4,1,100000004,510000001257,
3,,Segment,3,3,1,100000004,510000001259,
3,,Segment,2,3,1,100000004,510000001288,
2,,Segment,1,2,1,100000004,510000001307,
1,,Segment,0,1,1,100000004,510000001328,
1,,Segment,8,1,1,100000002,510000001384,
11,,Segment,30,11,1,100000002,510000001396,
10,,Segment,29,10,1,100000002,510000001406,
10,,Segment,28,10,1,100000002,510000001427,
9,,Segment,27,9,1,100000002,510000001452,
9,,Segment,26,9,1,100000002,510000001532,
9,,Segment,25,9,1,100000002,510000001539,
8,,Segment,24,8,1,100000002,510000001569,
7,,Segment,23,7,1,100000002,510000001586,
6,,Segment,21,6,1,100000002,510000001597,
5,,Segment,20,5,1,100000002,510000001613,
5,,Segment,19,5,1,100000002,510000001618,
5,,Segment,18,5,1,100000002,510000001630,
5,,Segment,17,5,1,100000002,510000001637,
5,,Segment,16,5,1,100000002,510000001641,
5,,Segment,14,5,1,100000002,510000001664,
5,,Segment,12,5,1,100000002,510000001679,
5,,Segment,11,5,1,100000002,510000001682,
5,,Segment,10,5,1,100000002,510000001691,
4,,Segment,8,4,1,100000002,510000001701,
4,,Segment,7,4,1,100000002,510000001713,
5,,Segment,6,5,1,100000004,510000001716,
3,,Segment,4,3,1,100000003,510000001752,
2,,Segment,2,2,1,100000003,510000001808,
2,,Segment,1,2,1,100000003,510000001867,
1,,Segment,0,1,1,100000003,510000001885,
13,,Segment,33,13,1,100000002,510000001906,
12,,Segment,32,12,1,100000002,510000001939,
11,,Segment,31,11,1,100000002,510000001950,
11,,Segment,30,11,1,100000002,510000001952,
11,,Segment,29,11,1,100000002,510000001963,
12,,Segment,34,12,1,100000002,510000001967,
12,,Segment,33,12,1,100000002,510000001972,
13,,Segment,34,13,1,100000002,510000001976,
6,,Segment,7,6,1,100000004,510000001985,
5,,Segment,6,5,1,100000004,510000002003,
4,,Segment,5,4,1,100000004,510000002006,
9,,Segment,25,9,1,100000002,510000002041,
8,,Segment,24,8,1,100000002,510000002067,
11,,Segment,33,11,1,100000002,510000002073,
1,,Segment,0,1,1,100000003,510000002112,
2,,Segment,4,2,1,100000003,510000002258,
12,,Segment,33,12,1,100000002,510000002272,
4,,Segment,4,4,1,100000003,510000002282,
3,,Segment,3,3,1,100000003,510000002310,
3,,Segment,4,3,1,100000003,510000002312,
