
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Segment,6,3,1,100000001,510000000015,
0,,Segment,5,3,1,100000001,510000000027,
4,,Segment,4,3,1,100000001,510000000099,
0,,Segment,3,2,1,100000001,510000000116,
4,,Segment,1,1,1,100000001,510000000132,
0,,Segment,0,1,1,100000001,510000000141,
0,,Segment,6,4,1,100000001,510000000165,
1,,Segment,5,4,1,100000001,510000000176,
1,,Segment,5,5,1,100000000,510000000192,
1,,Segment,4,4,1,100000000,510000000203,
0,,Segment,3,4,1,100000000,510000000208,
4,,Segment,2,3,1,100000000,510000000245,
0,,Segment,1,2,1,100000000,510000000249,
0,,Segment,0,1,1,100000000,510000000252,
3,,Segment,6,4,1,100000000,510000000295,
6,,Segment,5,4,1,100000000,510000000330,
0,,Segment,6,5,1,100000000,510000000332,
0,,Segment,4,5,1,100000000,510000000335,
0,,Segment,3,3,1,100000000,510000000342,
0,,Segment,3,3,1,100000003,510000000347,
0,,Segment,2,2,1,100000003,510000000401,
0,,Segment,1,2,1,100000003,510000000405,
0,,Segment,0,1,1,100000003,510000000418,
1,,Segment,4,2,1,100000003,510000000467,
0,,Segment,3,2,1,100000003,510000000513,
0,,Segment,4,3,1,100000003,510000000522,
1,,Segment,2,3,1,100000001,510000000566,
0,,Segment,1,2,1,100000001,510000000579,
4,,Segment,0,1,1,100000001,510000000640,
0,,Segment,2,2,1,100000001,510000000645,
0,,Segment,1,1,1,100000001,510000000647,
0,,Segment,8,4,1,100000000,510000000665,
2,,Segment,7,4,1,100000000,510000000734,
0,,Segment,6,3,1,100000000,510000000737,
0,,Segment,5,3,1,100000000,510000000746,
3,,Segment,4,2,1,100000000,510000000764,
0,,Segment,3,2,1,100000000,510000000769,
4,,Segment,2,2,1,100000000,510000000779,
0,,Segment,1,1,1,100000000,510000000783,
2,,Segment,0,1,1,100000000,510000000801,
0,,Segment,8,5,1,100000000,510000000811,
1,,Segment,7,3,1,100000000,510000000819,
0,,Segment,7,5,1,100000000,510000000828,
1,,Segment,6,4,1,100000000,510000000834,
1,,Segment,7,4,1,100000000,510000000840,
0,,Segment,3,2,1,100000002,510000000866,
3,,Segment,2,1,1,100000002,510000000933,
0,,Segment,1,1,1,100000002,510000000935,
1,,Segment,0,1,1,100000002,510000001013,
0,,Segment,3,1,1,100000002,510000001067,
0,,Segment,2,2,1,100000002,510000001070,
0,,Segment,1,2,1,100000002,510000001074,
1,,Segment,5,3,1,100000002,510000001128,
0,,Segment,4,2,1,100000002,510000001134,
0,,Segment,3,2,1,100000002,510000001183,
1,,Segment,2,2,1,100000002,510000001226,
0,,Segment,1,1,1,100000002,510000001233,
1,,Segment,0,1,1,100000002,510000001256,
1,,Segment,5,2,1,100000002,510000001283,
0,,Segment,4,3,1,100000002,510000001290,
5,,Segment,20,12,1,100000000,510000001322,
2,,Segment,19,11,1,100000000,510000001328,
0,,Segment,18,10,1,100000000,510000001350,
3,,Segment,17,10,1,100000000,510000001370,
0,,Segment,16,9,1,100000000,510000001373,
2,,Segment,15,9,1,100000000,510000001380,
1,,Segment,14,9,1,100000000,510000001385,
0,,Segment,13,8,1,100000000,510000001388,
0,,Segment,12,7,1,100000000,510000001407,
0,,Segment,11,6,1,100000000,510000001412,
0,,Segment,10,6,1,100000000,510000001418,
0,,Segment,9,5,1,100000000,510000001430,
0,,Segment,8,5,1,100000000,510000001433,
0,,Segment,7,5,1,100000000,510000001437,
0,,Segment,6,4,1,100000000,510000001440,
0,,Segment,5,3,1,100000000,510000001443,
0,,Segment,4,2,1,100000000,510000001447,
0,,Segment,3,2,1,100000000,510000001450,
0,,Segment,2,1,1,100000000,510000001452,
1,,Segment,1,1,1,100000000,510000001474,
0,,Segment,0,1,1,100000000,510000001479,
9,,Segment,19,10,1,100000000,510000001525,
0,,Segment,9,3,1,100000000,510000001538,
0,,Segment,8,2,1,100000000,510000001550,
0,,Segment,7,2,1,100000000,510000001553,
0,,Segment,6,2,1,100000000,510000001559,
0,,Segment,5,2,1,100000000,510000001562,
0,,Segment,13,3,1,100000000,510000001566,
0,,Segment,12,2,1,100000000,510000001568,
2,,Segment,11,2,1,100000000,510000001582,
0,,Segment,10,2,1,100000000,510000001586,
0,,Segment,9,2,1,100000000,510000001590,
0,,Segment,13,2,1,100000000,510000001593,
0,,Segment,12,3,1,100000000,510000001598,
0,,Segment,11,3,1,100000000,510000001607,
0,,Segment,10,3,1,100000000,510000001621,
0,,Segment,8,3,1,100000000,510000001625,
2,,Segment,7,3,1,100000000,510000001629,
1,,Segment,5,4,1,100000002,510000001684,
0,,Segment,4,3,1,100000002,510000001689,
3,,Segment,3,3,1,100000002,510000001740,
2,,Segment,4,2,1,100000001,510000001837,
0,,Segment,3,2,1,100000001,510000001851,
0,,Segment,2,2,1,100000001,510000001855,
0,,Segment,15,8,1,100000000,510000001869,
0,,Segment,14,8,1,100000000,510000001888,
0,,Segment,8,4,1,100000003,510000001902,
0,,Segment,7,3,1,100000003,510000001905,
0,,Segment,6,3,1,100000003,510000001928,
2,,Segment,5,3,1,100000003,510000001973,
1,,Segment,4,3,1,100000003,510000001977,
0,,Segment,2,2,1,100000003,510000001998,
0,,Segment,1,2,1,100000003,510000002010,
0,,Segment,0,1,1,100000003,510000002019,
