
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
1474,µm,Surface,Position,1,0,
1473.97,µm,Surface,Position,1,1,
1474.3,µm,Surface,Position,1,2,
1473.86,µm,Surface,Position,1,3,
