
Soma BoundingBoxAA Length Z
 ==================== 
Soma BoundingBoxAA Length Z,Unit,Category,Collection,Time,FilamentID,ID,
2,µm,Soma,Soma BoundingBoxAA Length,1,100000000,800000000,
2.59998,µm,Soma,Soma BoundingBoxAA Length,1,100000001,800000001,
3.09998,µm,Soma,Soma BoundingBoxAA Length,1,100000002,800000002,
2.6001,µm,Soma,Soma BoundingBoxAA Length,1,100000003,800000003,
