
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.62904,,Surface,1,Image 1,1,0,
2.0082,,Surface,1,Image 1,1,1,
1.98428,,Surface,1,Image 1,1,2,
2.21328,,Surface,1,Image 1,1,3,
