
Spine Center Intensity Min Ch=2 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
120,,Spine,2,0,Image 1,1,1,100000001,610000005375,
44,,Spine,2,3,Image 1,2,1,100000002,610000005380,
57,,Spine,2,0,Image 1,1,1,100000000,610000005382,
88,,Spine,2,0,Image 1,1,1,100000002,610000005385,
112,,Spine,2,3,Image 1,2,1,100000002,610000005387,
85,,Spine,2,0,Image 1,1,1,100000002,610000005391,
39,,Spine,2,0,Image 1,1,1,100000001,610000005393,
136,,Spine,2,0,Image 1,1,1,100000001,610000005399,
145,,Spine,2,0,Image 1,1,1,100000002,610000005415,
107,,Spine,2,1,Image 1,1,1,100000001,610000005422,
31,,Spine,2,0,Image 1,1,1,100000001,610000005426,
118,,Spine,2,0,Image 1,1,1,100000001,610000005428,
128,,Spine,2,0,Image 1,1,1,100000002,610000005443,
78,,Spine,2,1,Image 1,1,1,100000000,610000005451,
31,,Spine,2,5,Image 1,5,1,100000000,610000005455,
2,,Spine,2,6,Image 1,4,1,100000000,610000005456,
12,,Spine,2,6,Image 1,4,1,100000000,610000005457,
22,,Spine,2,5,Image 1,4,1,100000000,610000005458,
43,,Spine,2,5,Image 1,4,1,100000000,610000005459,
51,,Spine,2,5,Image 1,4,1,100000000,610000005460,
25,,Spine,2,5,Image 1,4,1,100000000,610000005461,
38,,Spine,2,5,Image 1,4,1,100000000,610000005462,
28,,Spine,2,4,Image 1,4,1,100000000,610000005463,
127,,Spine,2,2,Image 1,3,1,100000000,610000005464,
58,,Spine,2,2,Image 1,2,1,100000000,610000005465,
78,,Spine,2,1,Image 1,1,1,100000000,610000005466,
20,,Spine,2,7,Image 1,4,1,100000000,610000005467,
42,,Spine,2,7,Image 1,4,1,100000000,610000005468,
43,,Spine,2,4,Image 1,2,1,100000000,610000005469,
26,,Spine,2,4,Image 1,2,1,100000000,610000005470,
21,,Spine,2,3,Image 1,3,1,100000000,610000005471,
36,,Spine,2,3,Image 1,3,1,100000000,610000005472,
22,,Spine,2,2,Image 1,2,1,100000000,610000005473,
20,,Spine,2,2,Image 1,2,1,100000000,610000005474,
94,,Spine,2,2,Image 1,2,1,100000000,610000005475,
48,,Spine,2,0,Image 1,1,1,100000000,610000005476,
73,,Spine,2,1,Image 1,2,1,100000000,610000005477,
36,,Spine,2,1,Image 1,2,1,100000000,610000005478,
16,,Spine,2,20,Image 1,12,1,100000000,610000005479,
10,,Spine,2,20,Image 1,12,1,100000000,610000005480,
51,,Spine,2,20,Image 1,12,1,100000000,610000005481,
14,,Spine,2,19,Image 1,11,1,100000000,610000005482,
20,,Spine,2,19,Image 1,11,1,100000000,610000005483,
38,,Spine,2,19,Image 1,10,1,100000000,610000005484,
23,,Spine,2,19,Image 1,10,1,100000000,610000005485,
42,,Spine,2,19,Image 1,10,1,100000000,610000005486,
87,,Spine,2,19,Image 1,10,1,100000000,610000005487,
28,,Spine,2,19,Image 1,10,1,100000000,610000005488,
37,,Spine,2,19,Image 1,10,1,100000000,610000005489,
37,,Spine,2,17,Image 1,10,1,100000000,610000005490,
20,,Spine,2,10,Image 1,5,1,100000000,610000005491,
18,,Spine,2,7,Image 1,4,1,100000000,610000005492,
56,,Spine,2,11,Image 1,2,1,100000000,610000005493,
29,,Spine,2,7,Image 1,3,1,100000000,610000005494,
22,,Spine,2,13,Image 1,3,1,100000000,610000005495,
37,,Spine,2,13,Image 1,3,1,100000000,610000005496,
14,,Spine,2,13,Image 1,4,1,100000000,610000005497,
25,,Spine,2,13,Image 1,4,1,100000000,610000005498,
30,,Spine,2,9,Image 1,4,1,100000000,610000005499,
30,,Spine,2,7,Image 1,4,1,100000000,610000005500,
38,,Spine,2,6,Image 1,3,1,100000000,610000005501,
21,,Spine,2,2,Image 1,3,1,100000000,610000005502,
21,,Spine,2,1,Image 1,2,1,100000000,610000005503,
49,,Spine,2,1,Image 1,1,1,100000000,610000005504,
46,,Spine,2,1,Image 1,1,1,100000000,610000005505,
40,,Spine,2,4,Image 1,2,1,100000000,610000005513,
11,,Spine,2,4,Image 1,3,1,100000000,610000005514,
23,,Spine,2,4,Image 1,3,1,100000000,610000005515,
49,,Spine,2,4,Image 1,3,1,100000000,610000005516,
29,,Spine,2,0,Image 1,1,1,100000000,610000005517,
42,,Spine,2,5,Image 1,4,1,100000001,610000005518,
55,,Spine,2,4,Image 1,3,1,100000001,610000005519,
27,,Spine,2,4,Image 1,3,1,100000001,610000005520,
25,,Spine,2,4,Image 1,3,1,100000001,610000005521,
4,,Spine,2,4,Image 1,2,1,100000001,610000005522,
30,,Spine,2,4,Image 1,2,1,100000001,610000005523,
70,,Spine,2,1,Image 1,1,1,100000001,610000005524,
66,,Spine,2,1,Image 1,1,1,100000001,610000005525,
70,,Spine,2,1,Image 1,1,1,100000001,610000005526,
48,,Spine,2,2,Image 1,2,1,100000001,610000005527,
39,,Spine,2,2,Image 1,3,1,100000001,610000005536,
31,,Spine,2,0,Image 1,1,1,100000001,610000005537,
106,,Spine,2,2,Image 1,2,1,100000001,610000005539,
32,,Spine,2,2,Image 1,3,1,100000001,610000005540,
28,,Spine,2,2,Image 1,3,1,100000001,610000005541,
62,,Spine,2,3,Image 1,2,1,100000001,610000005542,
62,,Spine,2,2,Image 1,1,1,100000002,610000005544,
44,,Spine,2,2,Image 1,1,1,100000002,610000005545,
97,,Spine,2,2,Image 1,1,1,100000002,610000005546,
27,,Spine,2,5,Image 1,3,1,100000002,610000005547,
25,,Spine,2,5,Image 1,4,1,100000002,610000005548,
39,,Spine,2,3,Image 1,3,1,100000002,610000005549,
37,,Spine,2,2,Image 1,2,1,100000002,610000005550,
62,,Spine,2,4,Image 1,2,1,100000002,610000005551,
17,,Spine,2,2,Image 1,3,1,100000002,610000005552,
76,,Spine,2,0,Image 1,1,1,100000002,610000005553,
51,,Spine,2,6,Image 1,3,1,100000002,610000005554,
18,,Spine,2,8,Image 1,2,1,100000002,610000005555,
44,,Spine,2,4,Image 1,3,1,100000002,610000005556,
62,,Spine,2,3,Image 1,1,1,100000002,610000005560,
80,,Spine,2,1,Image 1,2,1,100000002,610000005561,
84,,Spine,2,1,Image 1,2,1,100000002,610000005562,
97,,Spine,2,1,Image 1,2,1,100000002,610000005563,
98,,Spine,2,0,Image 1,1,1,100000002,610000005564,
67,,Spine,2,0,Image 1,1,1,100000002,610000005566,
136,,Spine,2,0,Image 1,1,1,100000002,610000005567,
73,,Spine,2,0,Image 1,1,1,100000002,610000005568,
31,,Spine,2,5,Image 1,3,1,100000003,610000005569,
15,,Spine,2,1,Image 1,1,1,100000003,610000005570,
37,,Spine,2,9,Image 1,4,1,100000003,610000005576,
32,,Spine,2,8,Image 1,3,1,100000003,610000005577,
22,,Spine,2,8,Image 1,3,1,100000003,610000005578,
74,,Spine,2,9,Image 1,2,1,100000003,610000005579,
33,,Spine,2,6,Image 1,3,1,100000003,610000005580,
12,,Spine,2,6,Image 1,3,1,100000003,610000005581,
13,,Spine,2,7,Image 1,4,1,100000003,610000005582,
15,,Spine,2,3,Image 1,3,1,100000003,610000005583,
55,,Spine,2,2,Image 1,2,1,100000003,610000005584,
