
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.09298e+08,,Surface,1,Image 1,1,0,
2.05209e+07,,Surface,1,Image 1,1,1,
5.60275e+07,,Surface,1,Image 1,1,2,
3.94532e+07,,Surface,1,Image 1,1,3,
