
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-2.5345,2.06309,µm^3,Cumulative Volume,Image 1,1,,
-2.3975,9.30394,µm^3,Cumulative Volume,Image 1,1,,
-2.2605,28.0016,µm^3,Cumulative Volume,Image 1,1,,
-2.1235,59.7807,µm^3,Cumulative Volume,Image 1,1,,
-1.9865,108.235,µm^3,Cumulative Volume,Image 1,1,,
-1.8495,175.273,µm^3,Cumulative Volume,Image 1,1,,
-1.7125,252.586,µm^3,Cumulative Volume,Image 1,1,,
-1.5755,345.128,µm^3,Cumulative Volume,Image 1,1,,
-1.4385,458.463,µm^3,Cumulative Volume,Image 1,1,,
-1.3015,584.522,µm^3,Cumulative Volume,Image 1,1,,
-1.1645,728.434,µm^3,Cumulative Volume,Image 1,1,,
-1.0275,877.087,µm^3,Cumulative Volume,Image 1,1,,
-0.8905,1040.68,µm^3,Cumulative Volume,Image 1,1,,
-0.7535,1225.31,µm^3,Cumulative Volume,Image 1,1,,
-0.6165,1415.35,µm^3,Cumulative Volume,Image 1,1,,
-0.4795,1619.86,µm^3,Cumulative Volume,Image 1,1,,
-0.3425,1846.81,µm^3,Cumulative Volume,Image 1,1,,
-0.2055,2068.68,µm^3,Cumulative Volume,Image 1,1,,
-0.0684998,2295.9,µm^3,Cumulative Volume,Image 1,1,,
0.0685,2534.5,µm^3,Cumulative Volume,Image 1,1,,
0.2055,2746.91,µm^3,Cumulative Volume,Image 1,1,,
0.3425,2954.88,µm^3,Cumulative Volume,Image 1,1,,
0.4795,3147.36,µm^3,Cumulative Volume,Image 1,1,,
0.6165,3334.77,µm^3,Cumulative Volume,Image 1,1,,
0.7535,3520.54,µm^3,Cumulative Volume,Image 1,1,,
0.8905,3699.8,µm^3,Cumulative Volume,Image 1,1,,
1.0275,3874.62,µm^3,Cumulative Volume,Image 1,1,,
1.1645,4048.57,µm^3,Cumulative Volume,Image 1,1,,
1.3015,4221.35,µm^3,Cumulative Volume,Image 1,1,,
1.4385,4391.98,µm^3,Cumulative Volume,Image 1,1,,
1.5755,4560.42,µm^3,Cumulative Volume,Image 1,1,,
1.7125,4727.21,µm^3,Cumulative Volume,Image 1,1,,
1.8495,4893.5,µm^3,Cumulative Volume,Image 1,1,,
1.9865,5058.08,µm^3,Cumulative Volume,Image 1,1,,
2.1235,5220.75,µm^3,Cumulative Volume,Image 1,1,,
2.2605,5381.97,µm^3,Cumulative Volume,Image 1,1,,
2.3975,5541.43,µm^3,Cumulative Volume,Image 1,1,,
2.5345,5698.52,µm^3,Cumulative Volume,Image 1,1,,
2.6715,5852.89,µm^3,Cumulative Volume,Image 1,1,,
2.8085,6003.12,µm^3,Cumulative Volume,Image 1,1,,
2.9455,6148.64,µm^3,Cumulative Volume,Image 1,1,,
3.0825,6288.17,µm^3,Cumulative Volume,Image 1,1,,
3.2195,6422.28,µm^3,Cumulative Volume,Image 1,1,,
3.3565,6551.57,µm^3,Cumulative Volume,Image 1,1,,
3.4935,6676.85,µm^3,Cumulative Volume,Image 1,1,,
3.6305,6798.33,µm^3,Cumulative Volume,Image 1,1,,
3.7675,6916.48,µm^3,Cumulative Volume,Image 1,1,,
3.9045,7029.83,µm^3,Cumulative Volume,Image 1,1,,
4.0415,7138.37,µm^3,Cumulative Volume,Image 1,1,,
