
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
9.62191,,Surface,2,Image 1,1,0,
15.2311,,Surface,2,Image 1,1,1,
10.5447,,Surface,2,Image 1,1,2,
7.83866,,Surface,2,Image 1,1,3,
