
Soma Position Y
 ==================== 
Soma Position Y,Unit,Category,Collection,Time,FilamentID,ID,
19762.8,µm,Soma,Soma Position,1,100000000,800000000,
19784.6,µm,Soma,Soma Position,1,100000001,800000001,
19750.4,µm,Soma,Soma Position,1,100000002,800000002,
19766.7,µm,Soma,Soma Position,1,100000003,800000003,
