
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
150,,Surface,5,Image 1,1,0,
141,,Surface,5,Image 1,1,1,
161,,Surface,5,Image 1,1,2,
154,,Surface,5,Image 1,1,3,
