
Spine Number of Voxel Ch=1 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
30,,Spine,1,0,Image 1,1,1,100000001,610000005375,
60,,Spine,1,3,Image 1,2,1,100000002,610000005380,
83,,Spine,1,0,Image 1,1,1,100000000,610000005382,
138,,Spine,1,0,Image 1,1,1,100000002,610000005385,
56,,Spine,1,3,Image 1,2,1,100000002,610000005387,
105,,Spine,1,0,Image 1,1,1,100000002,610000005391,
186,,Spine,1,0,Image 1,1,1,100000001,610000005393,
97,,Spine,1,0,Image 1,1,1,100000001,610000005399,
217,,Spine,1,0,Image 1,1,1,100000002,610000005415,
213,,Spine,1,1,Image 1,1,1,100000001,610000005422,
76,,Spine,1,0,Image 1,1,1,100000001,610000005426,
95,,Spine,1,0,Image 1,1,1,100000001,610000005428,
127,,Spine,1,0,Image 1,1,1,100000002,610000005443,
179,,Spine,1,1,Image 1,1,1,100000000,610000005451,
37,,Spine,1,5,Image 1,5,1,100000000,610000005455,
79,,Spine,1,6,Image 1,4,1,100000000,610000005456,
195,,Spine,1,6,Image 1,4,1,100000000,610000005457,
81,,Spine,1,5,Image 1,4,1,100000000,610000005458,
116,,Spine,1,5,Image 1,4,1,100000000,610000005459,
91,,Spine,1,5,Image 1,4,1,100000000,610000005460,
53,,Spine,1,5,Image 1,4,1,100000000,610000005461,
57,,Spine,1,5,Image 1,4,1,100000000,610000005462,
48,,Spine,1,4,Image 1,4,1,100000000,610000005463,
169,,Spine,1,2,Image 1,3,1,100000000,610000005464,
255,,Spine,1,2,Image 1,2,1,100000000,610000005465,
199,,Spine,1,1,Image 1,1,1,100000000,610000005466,
38,,Spine,1,7,Image 1,4,1,100000000,610000005467,
110,,Spine,1,7,Image 1,4,1,100000000,610000005468,
118,,Spine,1,4,Image 1,2,1,100000000,610000005469,
72,,Spine,1,4,Image 1,2,1,100000000,610000005470,
58,,Spine,1,3,Image 1,3,1,100000000,610000005471,
94,,Spine,1,3,Image 1,3,1,100000000,610000005472,
141,,Spine,1,2,Image 1,2,1,100000000,610000005473,
145,,Spine,1,2,Image 1,2,1,100000000,610000005474,
122,,Spine,1,2,Image 1,2,1,100000000,610000005475,
184,,Spine,1,0,Image 1,1,1,100000000,610000005476,
60,,Spine,1,1,Image 1,2,1,100000000,610000005477,
105,,Spine,1,1,Image 1,2,1,100000000,610000005478,
46,,Spine,1,20,Image 1,12,1,100000000,610000005479,
54,,Spine,1,20,Image 1,12,1,100000000,610000005480,
126,,Spine,1,20,Image 1,12,1,100000000,610000005481,
29,,Spine,1,19,Image 1,11,1,100000000,610000005482,
72,,Spine,1,19,Image 1,11,1,100000000,610000005483,
94,,Spine,1,19,Image 1,10,1,100000000,610000005484,
67,,Spine,1,19,Image 1,10,1,100000000,610000005485,
119,,Spine,1,19,Image 1,10,1,100000000,610000005486,
79,,Spine,1,19,Image 1,10,1,100000000,610000005487,
67,,Spine,1,19,Image 1,10,1,100000000,610000005488,
45,,Spine,1,19,Image 1,10,1,100000000,610000005489,
82,,Spine,1,17,Image 1,10,1,100000000,610000005490,
94,,Spine,1,10,Image 1,5,1,100000000,610000005491,
88,,Spine,1,7,Image 1,4,1,100000000,610000005492,
310,,Spine,1,11,Image 1,2,1,100000000,610000005493,
103,,Spine,1,7,Image 1,3,1,100000000,610000005494,
166,,Spine,1,13,Image 1,3,1,100000000,610000005495,
111,,Spine,1,13,Image 1,3,1,100000000,610000005496,
76,,Spine,1,13,Image 1,4,1,100000000,610000005497,
45,,Spine,1,13,Image 1,4,1,100000000,610000005498,
75,,Spine,1,9,Image 1,4,1,100000000,610000005499,
130,,Spine,1,7,Image 1,4,1,100000000,610000005500,
122,,Spine,1,6,Image 1,3,1,100000000,610000005501,
77,,Spine,1,2,Image 1,3,1,100000000,610000005502,
91,,Spine,1,1,Image 1,2,1,100000000,610000005503,
117,,Spine,1,1,Image 1,1,1,100000000,610000005504,
56,,Spine,1,1,Image 1,1,1,100000000,610000005505,
50,,Spine,1,4,Image 1,2,1,100000000,610000005513,
39,,Spine,1,4,Image 1,3,1,100000000,610000005514,
40,,Spine,1,4,Image 1,3,1,100000000,610000005515,
74,,Spine,1,4,Image 1,3,1,100000000,610000005516,
143,,Spine,1,0,Image 1,1,1,100000000,610000005517,
58,,Spine,1,5,Image 1,4,1,100000001,610000005518,
79,,Spine,1,4,Image 1,3,1,100000001,610000005519,
62,,Spine,1,4,Image 1,3,1,100000001,610000005520,
88,,Spine,1,4,Image 1,3,1,100000001,610000005521,
92,,Spine,1,4,Image 1,2,1,100000001,610000005522,
92,,Spine,1,4,Image 1,2,1,100000001,610000005523,
310,,Spine,1,1,Image 1,1,1,100000001,610000005524,
164,,Spine,1,1,Image 1,1,1,100000001,610000005525,
128,,Spine,1,1,Image 1,1,1,100000001,610000005526,
101,,Spine,1,2,Image 1,2,1,100000001,610000005527,
87,,Spine,1,2,Image 1,3,1,100000001,610000005536,
36,,Spine,1,0,Image 1,1,1,100000001,610000005537,
111,,Spine,1,2,Image 1,2,1,100000001,610000005539,
178,,Spine,1,2,Image 1,3,1,100000001,610000005540,
176,,Spine,1,2,Image 1,3,1,100000001,610000005541,
94,,Spine,1,3,Image 1,2,1,100000001,610000005542,
78,,Spine,1,2,Image 1,1,1,100000002,610000005544,
98,,Spine,1,2,Image 1,1,1,100000002,610000005545,
108,,Spine,1,2,Image 1,1,1,100000002,610000005546,
43,,Spine,1,5,Image 1,3,1,100000002,610000005547,
91,,Spine,1,5,Image 1,4,1,100000002,610000005548,
129,,Spine,1,3,Image 1,3,1,100000002,610000005549,
65,,Spine,1,2,Image 1,2,1,100000002,610000005550,
92,,Spine,1,4,Image 1,2,1,100000002,610000005551,
55,,Spine,1,2,Image 1,3,1,100000002,610000005552,
98,,Spine,1,0,Image 1,1,1,100000002,610000005553,
114,,Spine,1,6,Image 1,3,1,100000002,610000005554,
106,,Spine,1,8,Image 1,2,1,100000002,610000005555,
32,,Spine,1,4,Image 1,3,1,100000002,610000005556,
121,,Spine,1,3,Image 1,1,1,100000002,610000005560,
85,,Spine,1,1,Image 1,2,1,100000002,610000005561,
97,,Spine,1,1,Image 1,2,1,100000002,610000005562,
161,,Spine,1,1,Image 1,2,1,100000002,610000005563,
345,,Spine,1,0,Image 1,1,1,100000002,610000005564,
67,,Spine,1,0,Image 1,1,1,100000002,610000005566,
134,,Spine,1,0,Image 1,1,1,100000002,610000005567,
248,,Spine,1,0,Image 1,1,1,100000002,610000005568,
83,,Spine,1,5,Image 1,3,1,100000003,610000005569,
122,,Spine,1,1,Image 1,1,1,100000003,610000005570,
42,,Spine,1,9,Image 1,4,1,100000003,610000005576,
76,,Spine,1,8,Image 1,3,1,100000003,610000005577,
60,,Spine,1,8,Image 1,3,1,100000003,610000005578,
74,,Spine,1,9,Image 1,2,1,100000003,610000005579,
116,,Spine,1,6,Image 1,3,1,100000003,610000005580,
72,,Spine,1,6,Image 1,3,1,100000003,610000005581,
210,,Spine,1,7,Image 1,4,1,100000003,610000005582,
48,,Spine,1,3,Image 1,3,1,100000003,610000005583,
141,,Spine,1,2,Image 1,2,1,100000003,610000005584,
