
Spine Part Length
 ==================== 
Spine Part Length Ground,Spine Part Length Head,Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.518203,0.363454,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000005025,
0.478584,0.265581,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005058,
0.265058,0.169445,0.0904866,µm,Spine,Spine Part Length,0,1,1,100000001,610000005065,
0.471216,0.144484,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000005069,
0.32597,0.0874252,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000005073,
0.436402,0.27211,0.186895,µm,Spine,Spine Part Length,0,1,1,100000001,610000005093,
0.152851,0.200839,0.0846802,µm,Spine,Spine Part Length,0,1,1,100000000,610000005101,
0.500724,0.296307,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005115,
0.415729,0.436361,0.368337,µm,Spine,Spine Part Length,0,1,1,100000002,610000005123,
0.437765,0.266155,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005127,
0.309041,0.0932071,0.117586,µm,Spine,Spine Part Length,0,1,1,100000002,610000005132,
0.280372,0.275046,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000005164,
0.3505,0.251537,0.161597,µm,Spine,Spine Part Length,0,1,1,100000001,610000005168,
0.263137,0.08125,0.133575,µm,Spine,Spine Part Length,0,1,1,100000001,610000005178,
0.330498,0.105423,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005194,
0.281235,0.0877003,0.179602,µm,Spine,Spine Part Length,0,1,1,100000001,610000005201,
0.292837,0.203125,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000005227,
0.315208,0.182804,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000005237,
0.385585,0.203125,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005253,
0.229773,0.301193,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000005273,
0.171755,0.13611,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000005282,
0.438456,0.250457,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005285,
0.248582,0.147553,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005292,
0.223062,0.126954,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000005302,
0.466314,0.32904,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005317,
0.320972,0.193853,0.149673,µm,Spine,Spine Part Length,0,1,1,100000001,610000005329,
0.30533,0.105423,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005340,
0.211665,0.34742,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000005343,
0.46676,0.287331,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000005345,
