
Area
 ==================== 
Area,Unit,Category,Time,ID,
552.493,µm^2,Surface,1,0,
303.714,µm^2,Surface,1,1,
726.901,µm^2,Surface,1,2,
452.138,µm^2,Surface,1,3,
