
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-15852.3,18746.5,1490.17,µm,Surface,Position,1,0,
-15816.4,18806.4,1492.01,µm,Surface,Position,1,1,
-15824.4,18832,1490.09,µm,Surface,Position,1,2,
-15776.6,18799.5,1490.38,µm,Surface,Position,1,3,
