
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5.70948e+08,,Surface,3,Image 1,1,0,
2.42012e+08,,Surface,3,Image 1,1,1,
2.38171e+08,,Surface,3,Image 1,1,2,
7.73004e+08,,Surface,3,Image 1,1,3,
