
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-11.357,238.639,µm^3,Volume,Image 1,1,,
-10.803,689.931,µm^3,Volume,Image 1,1,,
-10.249,1293.28,µm^3,Volume,Image 1,1,,
-9.695,1616.6,µm^3,Volume,Image 1,1,,
-9.141,1941.03,µm^3,Volume,Image 1,1,,
-8.587,2301.25,µm^3,Volume,Image 1,1,,
-8.033,2664.08,µm^3,Volume,Image 1,1,,
-7.479,3037.32,µm^3,Volume,Image 1,1,,
-6.925,3441.31,µm^3,Volume,Image 1,1,,
-6.371,3918.74,µm^3,Volume,Image 1,1,,
-5.817,4583,µm^3,Volume,Image 1,1,,
-5.263,5375.63,µm^3,Volume,Image 1,1,,
-4.709,5512.89,µm^3,Volume,Image 1,1,,
-4.155,5807.47,µm^3,Volume,Image 1,1,,
-3.601,6281.47,µm^3,Volume,Image 1,1,,
-3.047,6844.47,µm^3,Volume,Image 1,1,,
-2.493,7437.38,µm^3,Volume,Image 1,1,,
-1.939,8018.28,µm^3,Volume,Image 1,1,,
-1.385,8749.21,µm^3,Volume,Image 1,1,,
-0.830999,9579.61,µm^3,Volume,Image 1,1,,
-0.276999,10056.8,µm^3,Volume,Image 1,1,,
0.277,8033.32,µm^3,Volume,Image 1,1,,
0.831001,7213.63,µm^3,Volume,Image 1,1,,
1.385,7141.21,µm^3,Volume,Image 1,1,,
1.939,7129.33,µm^3,Volume,Image 1,1,,
2.493,7189.17,µm^3,Volume,Image 1,1,,
3.047,7111.42,µm^3,Volume,Image 1,1,,
3.601,6979.33,µm^3,Volume,Image 1,1,,
4.155,6849.89,µm^3,Volume,Image 1,1,,
4.709,6656.67,µm^3,Volume,Image 1,1,,
5.263,6446.32,µm^3,Volume,Image 1,1,,
5.817,6159.38,µm^3,Volume,Image 1,1,,
6.371,5887.65,µm^3,Volume,Image 1,1,,
6.925,5668.14,µm^3,Volume,Image 1,1,,
7.479,5473.99,µm^3,Volume,Image 1,1,,
8.033,5310.33,µm^3,Volume,Image 1,1,,
8.587,5177.28,µm^3,Volume,Image 1,1,,
9.141,5025.61,µm^3,Volume,Image 1,1,,
9.695,4908.08,µm^3,Volume,Image 1,1,,
10.249,4793.47,µm^3,Volume,Image 1,1,,
10.803,4675.35,µm^3,Volume,Image 1,1,,
11.357,4527.61,µm^3,Volume,Image 1,1,,
11.911,4366.21,µm^3,Volume,Image 1,1,,
12.465,4190.36,µm^3,Volume,Image 1,1,,
13.019,4070.53,µm^3,Volume,Image 1,1,,
13.573,3953.17,µm^3,Volume,Image 1,1,,
14.127,3839.31,µm^3,Volume,Image 1,1,,
14.681,3723.89,µm^3,Volume,Image 1,1,,
15.235,3615.92,µm^3,Volume,Image 1,1,,
15.789,3490.22,µm^3,Volume,Image 1,1,,
16.343,3341.31,µm^3,Volume,Image 1,1,,
16.897,3208.76,µm^3,Volume,Image 1,1,,
17.451,3056.28,µm^3,Volume,Image 1,1,,
18.005,2923.33,µm^3,Volume,Image 1,1,,
18.559,2775.83,µm^3,Volume,Image 1,1,,
19.113,2656.63,µm^3,Volume,Image 1,1,,
19.667,2570.96,µm^3,Volume,Image 1,1,,
20.221,2469.26,µm^3,Volume,Image 1,1,,
20.775,2396.47,µm^3,Volume,Image 1,1,,
21.329,2321.14,µm^3,Volume,Image 1,1,,
21.883,2259.83,µm^3,Volume,Image 1,1,,
22.437,2196.06,µm^3,Volume,Image 1,1,,
22.991,2156.49,µm^3,Volume,Image 1,1,,
23.545,2104.06,µm^3,Volume,Image 1,1,,
24.099,2065.72,µm^3,Volume,Image 1,1,,
24.653,2007.42,µm^3,Volume,Image 1,1,,
25.207,1966.06,µm^3,Volume,Image 1,1,,
25.761,1938.65,µm^3,Volume,Image 1,1,,
26.315,1897.29,µm^3,Volume,Image 1,1,,
26.869,1863.69,µm^3,Volume,Image 1,1,,
27.423,1821.82,µm^3,Volume,Image 1,1,,
27.977,1790.03,µm^3,Volume,Image 1,1,,
28.531,1746.93,µm^3,Volume,Image 1,1,,
29.085,1713.39,µm^3,Volume,Image 1,1,,
29.639,1667.24,µm^3,Volume,Image 1,1,,
30.193,1633.54,µm^3,Volume,Image 1,1,,
30.747,1585.63,µm^3,Volume,Image 1,1,,
31.301,1547.39,µm^3,Volume,Image 1,1,,
31.855,1520.24,µm^3,Volume,Image 1,1,,
32.409,1469.67,µm^3,Volume,Image 1,1,,
32.963,1447.86,µm^3,Volume,Image 1,1,,
33.517,1419.49,µm^3,Volume,Image 1,1,,
34.071,1376.9,µm^3,Volume,Image 1,1,,
34.625,1327.21,µm^3,Volume,Image 1,1,,
35.179,1311.04,µm^3,Volume,Image 1,1,,
35.733,1282.82,µm^3,Volume,Image 1,1,,
36.287,1242.57,µm^3,Volume,Image 1,1,,
36.841,1195.79,µm^3,Volume,Image 1,1,,
37.395,1175.76,µm^3,Volume,Image 1,1,,
37.949,1143.26,µm^3,Volume,Image 1,1,,
38.503,1097.04,µm^3,Volume,Image 1,1,,
39.057,1056.11,µm^3,Volume,Image 1,1,,
39.611,975.431,µm^3,Volume,Image 1,1,,
