
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
4.0885,,Surface,5,Image 1,1,0,
7.0324,,Surface,5,Image 1,1,1,
7.1236,,Surface,5,Image 1,1,2,
14.0835,,Surface,5,Image 1,1,3,
