
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.10131,,Surface,4,Image 1,1,0,
1.39994,,Surface,4,Image 1,1,1,
0.614828,,Surface,4,Image 1,1,2,
