
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1433.57,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1433.55,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1433.55,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1433.55,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1433.55,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1434.76,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.77,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.77,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.78,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1434.78,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1432.33,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1432.15,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1432.16,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1432.5,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1432.49,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
