
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10,,Segment,3,21,Image 1,10,1,100000002,510000000040,
0,,Segment,3,20,Image 1,9,1,100000002,510000000048,
83,,Segment,3,19,Image 1,8,1,100000002,510000000050,
15,,Segment,3,18,Image 1,8,1,100000002,510000000054,
15,,Segment,3,17,Image 1,7,1,100000002,510000000062,
66,,Segment,3,16,Image 1,7,1,100000002,510000000064,
20,,Segment,3,15,Image 1,7,1,100000002,510000000071,
0,,Segment,3,13,Image 1,5,1,100000002,510000000088,
0,,Segment,3,12,Image 1,5,1,100000002,510000000117,
57,,Segment,3,11,Image 1,5,1,100000002,510000000119,
82,,Segment,3,10,Image 1,5,1,100000002,510000000121,
60,,Segment,3,8,Image 1,5,1,100000002,510000000124,
61,,Segment,3,7,Image 1,4,1,100000002,510000000130,
75,,Segment,3,6,Image 1,4,1,100000002,510000000133,
26,,Segment,3,5,Image 1,3,1,100000002,510000000142,
11,,Segment,3,4,Image 1,2,1,100000002,510000000190,
26,,Segment,3,3,Image 1,2,1,100000002,510000000211,
100,,Segment,3,2,Image 1,2,1,100000002,510000000213,
100,,Segment,3,1,Image 1,1,1,100000002,510000000218,
77,,Segment,3,0,Image 1,1,1,100000002,510000000244,
4,,Segment,3,21,Image 1,9,1,100000002,510000000264,
7,,Segment,3,22,Image 1,9,1,100000002,510000000273,
57,,Segment,3,21,Image 1,8,1,100000002,510000000275,
0,,Segment,3,20,Image 1,8,1,100000002,510000000287,
21,,Segment,3,21,Image 1,9,1,100000002,510000000290,
0,,Segment,3,19,Image 1,9,1,100000002,510000000294,
39,,Segment,3,16,Image 1,8,1,100000002,510000000301,
41,,Segment,3,17,Image 1,8,1,100000002,510000000307,
0,,Segment,3,14,Image 1,5,1,100000002,510000000324,
25,,Segment,3,16,Image 1,7,1,100000002,510000000326,
11,,Segment,3,15,Image 1,6,1,100000002,510000000329,
25,,Segment,3,16,Image 1,6,1,100000002,510000000331,
0,,Segment,3,19,Image 1,7,1,100000002,510000000381,
0,,Segment,3,18,Image 1,7,1,100000002,510000000392,
0,,Segment,3,17,Image 1,7,1,100000002,510000000408,
52,,Segment,3,16,Image 1,6,1,100000002,510000000422,
29,,Segment,3,15,Image 1,6,1,100000002,510000000430,
45,,Segment,3,14,Image 1,6,1,100000002,510000000432,
27,,Segment,3,13,Image 1,6,1,100000002,510000000443,
44,,Segment,3,12,Image 1,6,1,100000002,510000000452,
29,,Segment,3,11,Image 1,6,1,100000002,510000000459,
29,,Segment,3,19,Image 1,8,1,100000002,510000000471,
0,,Segment,3,18,Image 1,8,1,100000002,510000000476,
18,,Segment,3,11,Image 1,4,1,100000000,510000000486,
85,,Segment,3,10,Image 1,4,1,100000000,510000000488,
0,,Segment,3,9,Image 1,4,1,100000000,510000000505,
0,,Segment,3,8,Image 1,4,1,100000000,510000000513,
57,,Segment,3,7,Image 1,3,1,100000000,510000000516,
20,,Segment,3,5,Image 1,3,1,100000000,510000000521,
0,,Segment,3,4,Image 1,3,1,100000000,510000000541,
46,,Segment,3,3,Image 1,2,1,100000000,510000000551,
77,,Segment,3,2,Image 1,2,1,100000000,510000000567,
38,,Segment,3,1,Image 1,1,1,100000000,510000000587,
94,,Segment,3,0,Image 1,1,1,100000000,510000000599,
44,,Segment,3,11,Image 1,5,1,100000000,510000000626,
43,,Segment,3,10,Image 1,5,1,100000000,510000000628,
0,,Segment,3,9,Image 1,5,1,100000000,510000000634,
0,,Segment,3,10,Image 1,3,1,100000000,510000000654,
50,,Segment,3,9,Image 1,3,1,100000000,510000000659,
38,,Segment,3,8,Image 1,3,1,100000000,510000000671,
0,,Segment,3,9,Image 1,5,1,100000000,510000000673,
14,,Segment,3,8,Image 1,4,1,100000000,510000000679,
0,,Segment,3,7,Image 1,4,1,100000000,510000000688,
0,,Segment,3,8,Image 1,5,1,100000000,510000000697,
18,,Segment,3,9,Image 1,4,1,100000000,510000000700,
0,,Segment,3,10,Image 1,4,1,100000000,510000000702,
0,,Segment,3,9,Image 1,4,1,100000000,510000000709,
0,,Segment,3,5,Image 1,4,1,100000000,510000000712,
0,,Segment,3,5,Image 1,4,1,100000000,510000000715,
0,,Segment,3,9,Image 1,6,1,100000002,510000000753,
37,,Segment,3,8,Image 1,5,1,100000002,510000000764,
10,,Segment,3,7,Image 1,5,1,100000002,510000000826,
0,,Segment,3,6,Image 1,5,1,100000002,510000000836,
99,,Segment,3,5,Image 1,4,1,100000002,510000000838,
110,,Segment,3,2,Image 1,3,1,100000002,510000000843,
96,,Segment,3,1,Image 1,2,1,100000002,510000000846,
84,,Segment,3,0,Image 1,1,1,100000002,510000000859,
14,,Segment,3,9,Image 1,5,1,100000002,510000000909,
0,,Segment,3,4,Image 1,4,1,100000002,510000000923,
0,,Segment,3,3,Image 1,3,1,100000002,510000000991,
31,,Segment,3,4,Image 1,3,1,100000002,510000001001,
21,,Segment,3,8,Image 1,6,1,100000002,510000001003,
0,,Segment,3,7,Image 1,6,1,100000002,510000001009,
0,,Segment,3,3,Image 1,2,1,100000002,510000001055,
27,,Segment,3,2,Image 1,2,1,100000002,510000001063,
0,,Segment,3,1,Image 1,2,1,100000002,510000001072,
15,,Segment,3,0,Image 1,1,1,100000002,510000001091,
13,,Segment,3,2,Image 1,3,1,100000002,510000001139,
0,,Segment,3,11,Image 1,4,1,100000000,510000001154,
17,,Segment,3,10,Image 1,3,1,100000000,510000001160,
35,,Segment,3,9,Image 1,3,1,100000000,510000001168,
43,,Segment,3,8,Image 1,2,1,100000000,510000001184,
49,,Segment,3,7,Image 1,1,1,100000000,510000001191,
63,,Segment,3,6,Image 1,1,1,100000000,510000001228,
110,,Segment,3,5,Image 1,1,1,100000000,510000001235,
79,,Segment,3,4,Image 1,1,1,100000000,510000001245,
105,,Segment,3,3,Image 1,1,1,100000000,510000001247,
105,,Segment,3,2,Image 1,1,1,100000000,510000001249,
99,,Segment,3,1,Image 1,1,1,100000000,510000001251,
65,,Segment,3,0,Image 1,1,1,100000000,510000001261,
0,,Segment,3,4,Image 1,3,1,100000002,510000001298,
0,,Segment,3,7,Image 1,4,1,100000000,510000001311,
0,,Segment,3,6,Image 1,3,1,100000000,510000001328,
39,,Segment,3,5,Image 1,2,1,100000000,510000001336,
43,,Segment,3,4,Image 1,1,1,100000000,510000001343,
