
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-2.244,17.1238,µm^3,Cumulative Volume,Image 1,1,,
-2.108,61.4223,µm^3,Cumulative Volume,Image 1,1,,
-1.972,130.811,µm^3,Cumulative Volume,Image 1,1,,
-1.836,226.604,µm^3,Cumulative Volume,Image 1,1,,
-1.7,337.712,µm^3,Cumulative Volume,Image 1,1,,
-1.564,470.742,µm^3,Cumulative Volume,Image 1,1,,
-1.428,608.472,µm^3,Cumulative Volume,Image 1,1,,
-1.292,762.488,µm^3,Cumulative Volume,Image 1,1,,
-1.156,943.784,µm^3,Cumulative Volume,Image 1,1,,
-1.02,1125.94,µm^3,Cumulative Volume,Image 1,1,,
-0.884,1321.89,µm^3,Cumulative Volume,Image 1,1,,
-0.748,1545.2,µm^3,Cumulative Volume,Image 1,1,,
-0.612,1765.72,µm^3,Cumulative Volume,Image 1,1,,
-0.476,2000.76,µm^3,Cumulative Volume,Image 1,1,,
-0.34,2262.85,µm^3,Cumulative Volume,Image 1,1,,
-0.204,2511.05,µm^3,Cumulative Volume,Image 1,1,,
-0.0679998,2752.39,µm^3,Cumulative Volume,Image 1,1,,
0.0680001,2987.34,µm^3,Cumulative Volume,Image 1,1,,
0.204,3184.43,µm^3,Cumulative Volume,Image 1,1,,
0.34,3367.72,µm^3,Cumulative Volume,Image 1,1,,
0.476,3531.85,µm^3,Cumulative Volume,Image 1,1,,
0.612,3690.95,µm^3,Cumulative Volume,Image 1,1,,
0.748,3850.17,µm^3,Cumulative Volume,Image 1,1,,
0.884,4000.94,µm^3,Cumulative Volume,Image 1,1,,
1.02,4145.86,µm^3,Cumulative Volume,Image 1,1,,
1.156,4285.52,µm^3,Cumulative Volume,Image 1,1,,
1.292,4417.22,µm^3,Cumulative Volume,Image 1,1,,
1.428,4543.13,µm^3,Cumulative Volume,Image 1,1,,
1.564,4664.29,µm^3,Cumulative Volume,Image 1,1,,
1.7,4780.55,µm^3,Cumulative Volume,Image 1,1,,
1.836,4892.24,µm^3,Cumulative Volume,Image 1,1,,
1.972,4999.87,µm^3,Cumulative Volume,Image 1,1,,
2.108,5103.39,µm^3,Cumulative Volume,Image 1,1,,
2.244,5203.04,µm^3,Cumulative Volume,Image 1,1,,
2.38,5298.95,µm^3,Cumulative Volume,Image 1,1,,
2.516,5390.6,µm^3,Cumulative Volume,Image 1,1,,
2.652,5478.25,µm^3,Cumulative Volume,Image 1,1,,
2.788,5562.47,µm^3,Cumulative Volume,Image 1,1,,
2.924,5643.07,µm^3,Cumulative Volume,Image 1,1,,
3.06,5720.48,µm^3,Cumulative Volume,Image 1,1,,
3.196,5794.65,µm^3,Cumulative Volume,Image 1,1,,
3.332,5865.84,µm^3,Cumulative Volume,Image 1,1,,
3.468,5934.4,µm^3,Cumulative Volume,Image 1,1,,
3.604,6000.5,µm^3,Cumulative Volume,Image 1,1,,
3.74,6064.13,µm^3,Cumulative Volume,Image 1,1,,
3.876,6125.89,µm^3,Cumulative Volume,Image 1,1,,
4.012,6186.1,µm^3,Cumulative Volume,Image 1,1,,
4.148,6245.06,µm^3,Cumulative Volume,Image 1,1,,
4.284,6303.14,µm^3,Cumulative Volume,Image 1,1,,
4.42,6360.28,µm^3,Cumulative Volume,Image 1,1,,
4.556,6417.21,µm^3,Cumulative Volume,Image 1,1,,
4.692,6473.96,µm^3,Cumulative Volume,Image 1,1,,
4.828,6530.41,µm^3,Cumulative Volume,Image 1,1,,
4.964,6586.49,µm^3,Cumulative Volume,Image 1,1,,
5.1,6642.2,µm^3,Cumulative Volume,Image 1,1,,
5.236,6697.51,µm^3,Cumulative Volume,Image 1,1,,
5.372,6753.03,µm^3,Cumulative Volume,Image 1,1,,
5.508,6808.7,µm^3,Cumulative Volume,Image 1,1,,
5.644,6864.24,µm^3,Cumulative Volume,Image 1,1,,
5.78,6919.6,µm^3,Cumulative Volume,Image 1,1,,
5.916,6974.63,µm^3,Cumulative Volume,Image 1,1,,
6.052,7029.98,µm^3,Cumulative Volume,Image 1,1,,
6.188,7085.52,µm^3,Cumulative Volume,Image 1,1,,
6.324,7141.08,µm^3,Cumulative Volume,Image 1,1,,
6.46,7196.41,µm^3,Cumulative Volume,Image 1,1,,
6.596,7251.38,µm^3,Cumulative Volume,Image 1,1,,
6.732,7306.72,µm^3,Cumulative Volume,Image 1,1,,
6.868,7362.28,µm^3,Cumulative Volume,Image 1,1,,
7.004,7417.93,µm^3,Cumulative Volume,Image 1,1,,
7.14,7473.61,µm^3,Cumulative Volume,Image 1,1,,
7.276,7529.06,µm^3,Cumulative Volume,Image 1,1,,
7.412,7584.24,µm^3,Cumulative Volume,Image 1,1,,
7.548,7639.84,µm^3,Cumulative Volume,Image 1,1,,
7.684,7695.8,µm^3,Cumulative Volume,Image 1,1,,
7.82,7751.92,µm^3,Cumulative Volume,Image 1,1,,
7.956,7807.93,µm^3,Cumulative Volume,Image 1,1,,
8.092,7863.2,µm^3,Cumulative Volume,Image 1,1,,
8.228,7918.19,µm^3,Cumulative Volume,Image 1,1,,
8.364,7973.43,µm^3,Cumulative Volume,Image 1,1,,
8.5,8027.93,µm^3,Cumulative Volume,Image 1,1,,
8.636,8082.02,µm^3,Cumulative Volume,Image 1,1,,
