
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
619.211,µm,Spine,Spine Position,5,3,1,100000000,610000006386,
601.247,µm,Spine,Spine Position,3,2,1,100000002,610000006393,
601.336,µm,Spine,Spine Position,3,2,1,100000002,610000006398,
603.314,µm,Spine,Spine Position,4,4,1,100000002,610000006407,
620.793,µm,Spine,Spine Position,13,6,1,100000000,610000006415,
602.749,µm,Spine,Spine Position,4,2,1,100000002,610000006420,
622.244,µm,Spine,Spine Position,13,6,1,100000000,610000006422,
619.219,µm,Spine,Spine Position,5,3,1,100000000,610000006427,
604.368,µm,Spine,Spine Position,16,4,1,100000000,610000006431,
627.468,µm,Spine,Spine Position,27,7,1,100000001,610000006433,
603.375,µm,Spine,Spine Position,4,4,1,100000002,610000006441,
608.941,µm,Spine,Spine Position,7,3,1,100000000,610000006444,
619.178,µm,Spine,Spine Position,5,3,1,100000000,610000006449,
622.22,µm,Spine,Spine Position,13,6,1,100000000,610000006452,
600.152,µm,Spine,Spine Position,5,3,1,100000002,610000006456,
608.502,µm,Spine,Spine Position,1,1,1,100000000,610000006460,
615.897,µm,Spine,Spine Position,4,2,1,100000000,610000006463,
612.319,µm,Spine,Spine Position,8,5,1,100000002,610000006467,
606.48,µm,Spine,Spine Position,0,1,1,100000002,610000006469,
619.145,µm,Spine,Spine Position,5,3,1,100000000,610000006473,
617.803,µm,Spine,Spine Position,9,6,1,100000002,610000006476,
613.814,µm,Spine,Spine Position,11,4,1,100000000,610000006478,
601.103,µm,Spine,Spine Position,10,3,1,100000000,610000006481,
603.424,µm,Spine,Spine Position,4,4,1,100000002,610000006488,
616.384,µm,Spine,Spine Position,3,2,1,100000000,610000006492,
605.282,µm,Spine,Spine Position,1,2,1,100000002,610000006494,
609.882,µm,Spine,Spine Position,4,4,1,100000002,610000006497,
614.215,µm,Spine,Spine Position,2,2,1,100000000,610000006500,
613.806,µm,Spine,Spine Position,8,8,1,100000002,610000006502,
605.792,µm,Spine,Spine Position,2,1,1,100000000,610000006506,
607.995,µm,Spine,Spine Position,1,2,1,100000002,610000006509,
613.587,µm,Spine,Spine Position,2,2,1,100000000,610000006517,
607.88,µm,Spine,Spine Position,1,1,1,100000000,610000006521,
620.89,µm,Spine,Spine Position,13,6,1,100000000,610000006525,
606.208,µm,Spine,Spine Position,1,2,1,100000002,610000006528,
605.293,µm,Spine,Spine Position,2,3,1,100000002,610000006531,
600.54,µm,Spine,Spine Position,5,3,1,100000002,610000006534,
592.936,µm,Spine,Spine Position,17,6,1,100000002,610000006538,
606.154,µm,Spine,Spine Position,3,2,1,100000000,610000006540,
606.535,µm,Spine,Spine Position,1,2,1,100000002,610000006544,
601.549,µm,Spine,Spine Position,17,3,1,100000000,610000006549,
609.584,µm,Spine,Spine Position,9,1,1,100000000,610000006552,
603.209,µm,Spine,Spine Position,16,3,1,100000000,610000006554,
616.383,µm,Spine,Spine Position,3,2,1,100000000,610000006557,
620.608,µm,Spine,Spine Position,5,2,1,100000000,610000006559,
