
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.22766,µm,Segment,21,10,1,100000002,510000000040,
0.807202,µm,Segment,20,9,1,100000002,510000000048,
0.209825,µm,Segment,19,8,1,100000002,510000000050,
0.465359,µm,Segment,18,8,1,100000002,510000000054,
0.820134,µm,Segment,17,7,1,100000002,510000000062,
0.257089,µm,Segment,16,7,1,100000002,510000000064,
0.98446,µm,Segment,15,7,1,100000002,510000000071,
1.44814,µm,Segment,13,5,1,100000002,510000000088,
3.15052,µm,Segment,12,5,1,100000002,510000000117,
0.266063,µm,Segment,11,5,1,100000002,510000000119,
0.267259,µm,Segment,10,5,1,100000002,510000000121,
0.301356,µm,Segment,8,5,1,100000002,510000000124,
0.807984,µm,Segment,7,4,1,100000002,510000000130,
0.59903,µm,Segment,6,4,1,100000002,510000000133,
1.04832,µm,Segment,5,3,1,100000002,510000000142,
3.66128,µm,Segment,4,2,1,100000002,510000000190,
1.58058,µm,Segment,3,2,1,100000002,510000000211,
0.212273,µm,Segment,2,2,1,100000002,510000000213,
0.678193,µm,Segment,1,1,1,100000002,510000000218,
0.731639,µm,Segment,0,1,1,100000002,510000000244,
0.377493,µm,Segment,21,9,1,100000002,510000000264,
0.769808,µm,Segment,22,9,1,100000002,510000000273,
0.232169,µm,Segment,21,8,1,100000002,510000000275,
1.23833,µm,Segment,20,8,1,100000002,510000000287,
0.596379,µm,Segment,21,9,1,100000002,510000000290,
0.487357,µm,Segment,19,9,1,100000002,510000000294,
1.04304,µm,Segment,16,8,1,100000002,510000000301,
0.696916,µm,Segment,17,8,1,100000002,510000000307,
1.56104,µm,Segment,14,5,1,100000002,510000000324,
0.301232,µm,Segment,16,7,1,100000002,510000000326,
0.536029,µm,Segment,15,6,1,100000002,510000000329,
0.37091,µm,Segment,16,6,1,100000002,510000000331,
4.22055,µm,Segment,19,7,1,100000002,510000000381,
1.01543,µm,Segment,18,7,1,100000002,510000000392,
1.8813,µm,Segment,17,7,1,100000002,510000000408,
1.42605,µm,Segment,16,6,1,100000002,510000000422,
0.83708,µm,Segment,15,6,1,100000002,510000000430,
0.220469,µm,Segment,14,6,1,100000002,510000000432,
1.14989,µm,Segment,13,6,1,100000002,510000000443,
1.16835,µm,Segment,12,6,1,100000002,510000000452,
0.753709,µm,Segment,11,6,1,100000002,510000000459,
1.03608,µm,Segment,19,8,1,100000002,510000000471,
0.544581,µm,Segment,18,8,1,100000002,510000000476,
0.942007,µm,Segment,11,4,1,100000000,510000000486,
0.184088,µm,Segment,10,4,1,100000000,510000000488,
1.5515,µm,Segment,9,4,1,100000000,510000000505,
0.603356,µm,Segment,8,4,1,100000000,510000000513,
0.256991,µm,Segment,7,3,1,100000000,510000000516,
0.503957,µm,Segment,5,3,1,100000000,510000000521,
1.85936,µm,Segment,4,3,1,100000000,510000000541,
1.34408,µm,Segment,3,2,1,100000000,510000000551,
1.91135,µm,Segment,2,2,1,100000000,510000000567,
2.01148,µm,Segment,1,1,1,100000000,510000000587,
1.38701,µm,Segment,0,1,1,100000000,510000000599,
0.583007,µm,Segment,11,5,1,100000000,510000000626,
0.349417,µm,Segment,10,5,1,100000000,510000000628,
0.777133,µm,Segment,9,5,1,100000000,510000000634,
1.66442,µm,Segment,10,3,1,100000000,510000000654,
0.608448,µm,Segment,9,3,1,100000000,510000000659,
1.39523,µm,Segment,8,3,1,100000000,510000000671,
0.322986,µm,Segment,9,5,1,100000000,510000000673,
0.487237,µm,Segment,8,4,1,100000000,510000000679,
0.924979,µm,Segment,7,4,1,100000000,510000000688,
1.06387,µm,Segment,8,5,1,100000000,510000000697,
0.543974,µm,Segment,9,4,1,100000000,510000000700,
0.296722,µm,Segment,10,4,1,100000000,510000000702,
0.791966,µm,Segment,9,4,1,100000000,510000000709,
0.53392,µm,Segment,5,4,1,100000000,510000000712,
0.421536,µm,Segment,5,4,1,100000000,510000000715,
3.5138,µm,Segment,9,6,1,100000002,510000000753,
1.2442,µm,Segment,8,5,1,100000002,510000000764,
5.40568,µm,Segment,7,5,1,100000002,510000000826,
1.03138,µm,Segment,6,5,1,100000002,510000000836,
0.313408,µm,Segment,5,4,1,100000002,510000000838,
0.444047,µm,Segment,2,3,1,100000002,510000000843,
0.347682,µm,Segment,1,2,1,100000002,510000000846,
1.22992,µm,Segment,0,1,1,100000002,510000000859,
2.14153,µm,Segment,9,5,1,100000002,510000000909,
1.69559,µm,Segment,4,4,1,100000002,510000000923,
5.45293,µm,Segment,3,3,1,100000002,510000000991,
1.1689,µm,Segment,4,3,1,100000002,510000001001,
0.595799,µm,Segment,8,6,1,100000002,510000001003,
0.74312,µm,Segment,7,6,1,100000002,510000001009,
3.7133,µm,Segment,3,2,1,100000002,510000001055,
0.730794,µm,Segment,2,2,1,100000002,510000001063,
0.736011,µm,Segment,1,2,1,100000002,510000001072,
1.53662,µm,Segment,0,1,1,100000002,510000001091,
2.88811,µm,Segment,2,3,1,100000002,510000001139,
1.64166,µm,Segment,11,4,1,100000000,510000001154,
0.63919,µm,Segment,10,3,1,100000000,510000001160,
0.716479,µm,Segment,9,3,1,100000000,510000001168,
1.58896,µm,Segment,8,2,1,100000000,510000001184,
0.82556,µm,Segment,7,1,1,100000000,510000001191,
2.81385,µm,Segment,6,1,1,100000000,510000001228,
0.5934,µm,Segment,5,1,1,100000000,510000001235,
1.05067,µm,Segment,4,1,1,100000000,510000001245,
0.262324,µm,Segment,3,1,1,100000000,510000001247,
0.265196,µm,Segment,2,1,1,100000000,510000001249,
0.254101,µm,Segment,1,1,1,100000000,510000001251,
0.812208,µm,Segment,0,1,1,100000000,510000001261,
1.71754,µm,Segment,4,3,1,100000002,510000001298,
0.976971,µm,Segment,7,4,1,100000000,510000001311,
1.34688,µm,Segment,6,3,1,100000000,510000001328,
1.09568,µm,Segment,5,2,1,100000000,510000001336,
0.834572,µm,Segment,4,1,1,100000000,510000001343,
1.21059,µm,Segment,3,1,1,100000000,510000001356,
2.22078,µm,Segment,2,1,1,100000000,510000001379,
