
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.24375,0.273528,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007467,
0.565837,0.552482,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000007470,
0.247488,0.222267,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007476,
0.288115,0.325066,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007488,
0.506334,0.952493,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007493,
0.93699,1.21268,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007503,
0.343101,0.196777,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007506,
0.394353,0.433043,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007527,
0.825874,1.05763,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007529,
0.468374,0.410021,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007547,
0.543924,0.711063,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007550,
0.296922,0.346285,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007570,
0.438821,0.471393,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007584,
0.389479,0.43321,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007618,
0.672754,0.865556,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007623,
0.240259,0.263428,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007628,
0.446519,0.174769,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007642,
0.358283,0.397886,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007644,
0.454552,0.46572,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007702,
0.508143,0.283196,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007824,
0.474148,0.52425,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007877,
0.300244,0.262971,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007882,
0.40397,0.372925,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007934,
0.357354,0.311035,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007935,
0.538123,0.502791,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007936,
0.305874,0.298294,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007951,
0.333925,0.306795,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007977,
0.366838,0.344819,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007978,
