
Soma Number of Triangles
 ==================== 
Soma Number of Triangles,Unit,Category,Time,FilamentID,ID,
9036,,Soma,1,100000000,800000000,
7076,,Soma,1,100000001,800000001,
5012,,Soma,1,100000002,800000002,
12564,,Soma,1,100000003,800000003,
10580,,Soma,1,100000004,800000004,
