
Soma Center of Homogeneous Mass
 ==================== 
Soma Center of Homogeneous Mass X,Soma Center of Homogeneous Mass Y,Soma Center of Homogeneous Mass Z,Unit,Category,Collection,Time,FilamentID,ID,
916.366,19658.8,1448.8,µm,Soma,Soma Center of Homogeneous Mass,1,100000000,800000000,
928.353,19624.2,1448.1,µm,Soma,Soma Center of Homogeneous Mass,1,100000001,800000001,
895.234,19639.1,1449.12,µm,Soma,Soma Center of Homogeneous Mass,1,100000002,800000002,
889.157,19662.7,1447.23,µm,Soma,Soma Center of Homogeneous Mass,1,100000003,800000003,
925.172,19657.5,1449,µm,Soma,Soma Center of Homogeneous Mass,1,100000004,800000004,
