
Soma Position Z
 ==================== 
Soma Position Z,Unit,Category,Collection,Time,FilamentID,ID,
1448.8,µm,Soma,Soma Position,1,100000000,800000000,
1448.1,µm,Soma,Soma Position,1,100000001,800000001,
1449.12,µm,Soma,Soma Position,1,100000002,800000002,
1447.23,µm,Soma,Soma Position,1,100000003,800000003,
1449,µm,Soma,Soma Position,1,100000004,800000004,
