
Segment Intensity Median Ch=5 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,5,13,Image 1,8,1,100000003,510000000039,
0,,Segment,5,12,Image 1,7,1,100000003,510000000047,
0,,Segment,5,9,Image 1,5,1,100000003,510000000075,
0,,Segment,5,8,Image 1,4,1,100000003,510000000086,
0,,Segment,5,7,Image 1,4,1,100000003,510000000091,
0,,Segment,5,6,Image 1,4,1,100000003,510000000106,
0,,Segment,5,5,Image 1,3,1,100000003,510000000108,
0,,Segment,5,4,Image 1,3,1,100000003,510000000135,
0,,Segment,5,3,Image 1,3,1,100000003,510000000183,
0,,Segment,5,2,Image 1,3,1,100000003,510000000193,
0,,Segment,5,1,Image 1,2,1,100000003,510000000195,
0,,Segment,5,0,Image 1,1,1,100000003,510000000227,
0,,Segment,5,13,Image 1,7,1,100000003,510000000251,
0,,Segment,5,10,Image 1,6,1,100000003,510000000275,
0,,Segment,5,11,Image 1,5,1,100000003,510000000291,
0,,Segment,5,12,Image 1,6,1,100000003,510000000293,
0,,Segment,5,18,Image 1,7,1,100000001,510000000305,
0,,Segment,5,17,Image 1,6,1,100000001,510000000323,
0,,Segment,5,16,Image 1,5,1,100000001,510000000341,
0,,Segment,5,15,Image 1,5,1,100000001,510000000359,
0.03125,,Segment,5,14,Image 1,5,1,100000001,510000000364,
0.0625,,Segment,5,13,Image 1,4,1,100000001,510000000383,
0.03125,,Segment,5,12,Image 1,4,1,100000001,510000000404,
0,,Segment,5,11,Image 1,4,1,100000001,510000000415,
0,,Segment,5,9,Image 1,3,1,100000001,510000000444,
0,,Segment,5,7,Image 1,2,1,100000001,510000000452,
0,,Segment,5,6,Image 1,1,1,100000001,510000000477,
0,,Segment,5,5,Image 1,1,1,100000001,510000000487,
0,,Segment,5,4,Image 1,1,1,100000001,510000000494,
0,,Segment,5,3,Image 1,1,1,100000001,510000000497,
0,,Segment,5,2,Image 1,1,1,100000001,510000000507,
0,,Segment,5,1,Image 1,1,1,100000001,510000000509,
