
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-2.244,9.80933,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.108,34.9159,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.972,73.2672,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.836,126.321,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7,189.647,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.564,267.841,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.428,354.456,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.292,456.314,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.156,579.086,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.02,708.81,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.884,852.457,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.748,1017.44,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.612,1185.72,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.476,1368.44,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.34,1573.57,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.204,1774.48,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.0680001,1978.26,µm^3,Cumulative Volume Inside,Image 1,1,,
