
Soma Center of Homogeneous Mass X
 ==================== 
Soma Center of Homogeneous Mass X,Unit,Category,Collection,Time,FilamentID,ID,
-88.5078,µm,Soma,Soma Center of Homogeneous Mass,1,100000000,800000000,
-81.6483,µm,Soma,Soma Center of Homogeneous Mass,1,100000001,800000001,
-106.095,µm,Soma,Soma Center of Homogeneous Mass,1,100000002,800000002,
-63.0844,µm,Soma,Soma Center of Homogeneous Mass,1,100000003,800000003,
