
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1422.63,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1422.69,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1422.7,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1422.42,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1422.42,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1425.83,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1425.79,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1425.79,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1426.17,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1426.17,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1422.47,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1422.42,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1422.42,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1422.42,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1422.42,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1426.09,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1426.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1426.11,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1426.09,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1426.09,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
