
Soma Number of Triangles
 ==================== 
Soma Number of Triangles,Unit,Category,Time,FilamentID,ID,
12236,,Soma,1,100000000,800000000,
9208,,Soma,1,100000001,800000001,
20292,,Soma,1,100000002,800000002,
3764,,Soma,1,100000003,800000003,
