
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
21918.8,µm,Surface,Distance from Origin,1,0,
21942.9,µm,Surface,Distance from Origin,1,1,
21947.7,µm,Surface,Distance from Origin,1,2,
21935.5,µm,Surface,Distance from Origin,1,3,
